MapFromString	MapToString	Comment # File ArabicPresentationFormMappingAnnotated.tsv, automatically generated by script wildebeest_build.py (Ulf Hermjakob, USC/ISI) based on UnicodeData on Sep 26, 2020, 22:36:13
ﭐ	ٱ	U+FB50 (ARABIC LETTER ALEF WASLA ISOLATED FORM) -> U+0671
ﭑ	ٱ	U+FB51 (ARABIC LETTER ALEF WASLA FINAL FORM) -> U+0671
ﭒ	ٻ	U+FB52 (ARABIC LETTER BEEH ISOLATED FORM) -> U+067B
ﭓ	ٻ	U+FB53 (ARABIC LETTER BEEH FINAL FORM) -> U+067B
ﭔ	ٻ	U+FB54 (ARABIC LETTER BEEH INITIAL FORM) -> U+067B
ﭕ	ٻ	U+FB55 (ARABIC LETTER BEEH MEDIAL FORM) -> U+067B
ﭖ	پ	U+FB56 (ARABIC LETTER PEH ISOLATED FORM) -> U+067E
ﭗ	پ	U+FB57 (ARABIC LETTER PEH FINAL FORM) -> U+067E
ﭘ	پ	U+FB58 (ARABIC LETTER PEH INITIAL FORM) -> U+067E
ﭙ	پ	U+FB59 (ARABIC LETTER PEH MEDIAL FORM) -> U+067E
ﭚ	ڀ	U+FB5A (ARABIC LETTER BEHEH ISOLATED FORM) -> U+0680
ﭛ	ڀ	U+FB5B (ARABIC LETTER BEHEH FINAL FORM) -> U+0680
ﭜ	ڀ	U+FB5C (ARABIC LETTER BEHEH INITIAL FORM) -> U+0680
ﭝ	ڀ	U+FB5D (ARABIC LETTER BEHEH MEDIAL FORM) -> U+0680
ﭞ	ٺ	U+FB5E (ARABIC LETTER TTEHEH ISOLATED FORM) -> U+067A
ﭟ	ٺ	U+FB5F (ARABIC LETTER TTEHEH FINAL FORM) -> U+067A
ﭠ	ٺ	U+FB60 (ARABIC LETTER TTEHEH INITIAL FORM) -> U+067A
ﭡ	ٺ	U+FB61 (ARABIC LETTER TTEHEH MEDIAL FORM) -> U+067A
ﭢ	ٿ	U+FB62 (ARABIC LETTER TEHEH ISOLATED FORM) -> U+067F
ﭣ	ٿ	U+FB63 (ARABIC LETTER TEHEH FINAL FORM) -> U+067F
ﭤ	ٿ	U+FB64 (ARABIC LETTER TEHEH INITIAL FORM) -> U+067F
ﭥ	ٿ	U+FB65 (ARABIC LETTER TEHEH MEDIAL FORM) -> U+067F
ﭦ	ٹ	U+FB66 (ARABIC LETTER TTEH ISOLATED FORM) -> U+0679
ﭧ	ٹ	U+FB67 (ARABIC LETTER TTEH FINAL FORM) -> U+0679
ﭨ	ٹ	U+FB68 (ARABIC LETTER TTEH INITIAL FORM) -> U+0679
ﭩ	ٹ	U+FB69 (ARABIC LETTER TTEH MEDIAL FORM) -> U+0679
ﭪ	ڤ	U+FB6A (ARABIC LETTER VEH ISOLATED FORM) -> U+06A4
ﭫ	ڤ	U+FB6B (ARABIC LETTER VEH FINAL FORM) -> U+06A4
ﭬ	ڤ	U+FB6C (ARABIC LETTER VEH INITIAL FORM) -> U+06A4
ﭭ	ڤ	U+FB6D (ARABIC LETTER VEH MEDIAL FORM) -> U+06A4
ﭮ	ڦ	U+FB6E (ARABIC LETTER PEHEH ISOLATED FORM) -> U+06A6
ﭯ	ڦ	U+FB6F (ARABIC LETTER PEHEH FINAL FORM) -> U+06A6
ﭰ	ڦ	U+FB70 (ARABIC LETTER PEHEH INITIAL FORM) -> U+06A6
ﭱ	ڦ	U+FB71 (ARABIC LETTER PEHEH MEDIAL FORM) -> U+06A6
ﭲ	ڄ	U+FB72 (ARABIC LETTER DYEH ISOLATED FORM) -> U+0684
ﭳ	ڄ	U+FB73 (ARABIC LETTER DYEH FINAL FORM) -> U+0684
ﭴ	ڄ	U+FB74 (ARABIC LETTER DYEH INITIAL FORM) -> U+0684
ﭵ	ڄ	U+FB75 (ARABIC LETTER DYEH MEDIAL FORM) -> U+0684
ﭶ	ڃ	U+FB76 (ARABIC LETTER NYEH ISOLATED FORM) -> U+0683
ﭷ	ڃ	U+FB77 (ARABIC LETTER NYEH FINAL FORM) -> U+0683
ﭸ	ڃ	U+FB78 (ARABIC LETTER NYEH INITIAL FORM) -> U+0683
ﭹ	ڃ	U+FB79 (ARABIC LETTER NYEH MEDIAL FORM) -> U+0683
ﭺ	چ	U+FB7A (ARABIC LETTER TCHEH ISOLATED FORM) -> U+0686
ﭻ	چ	U+FB7B (ARABIC LETTER TCHEH FINAL FORM) -> U+0686
ﭼ	چ	U+FB7C (ARABIC LETTER TCHEH INITIAL FORM) -> U+0686
ﭽ	چ	U+FB7D (ARABIC LETTER TCHEH MEDIAL FORM) -> U+0686
ﭾ	ڇ	U+FB7E (ARABIC LETTER TCHEHEH ISOLATED FORM) -> U+0687
ﭿ	ڇ	U+FB7F (ARABIC LETTER TCHEHEH FINAL FORM) -> U+0687
ﮀ	ڇ	U+FB80 (ARABIC LETTER TCHEHEH INITIAL FORM) -> U+0687
ﮁ	ڇ	U+FB81 (ARABIC LETTER TCHEHEH MEDIAL FORM) -> U+0687
ﮂ	ڍ	U+FB82 (ARABIC LETTER DDAHAL ISOLATED FORM) -> U+068D
ﮃ	ڍ	U+FB83 (ARABIC LETTER DDAHAL FINAL FORM) -> U+068D
ﮄ	ڌ	U+FB84 (ARABIC LETTER DAHAL ISOLATED FORM) -> U+068C
ﮅ	ڌ	U+FB85 (ARABIC LETTER DAHAL FINAL FORM) -> U+068C
ﮆ	ڎ	U+FB86 (ARABIC LETTER DUL ISOLATED FORM) -> U+068E
ﮇ	ڎ	U+FB87 (ARABIC LETTER DUL FINAL FORM) -> U+068E
ﮈ	ڈ	U+FB88 (ARABIC LETTER DDAL ISOLATED FORM) -> U+0688
ﮉ	ڈ	U+FB89 (ARABIC LETTER DDAL FINAL FORM) -> U+0688
ﮊ	ژ	U+FB8A (ARABIC LETTER JEH ISOLATED FORM) -> U+0698
ﮋ	ژ	U+FB8B (ARABIC LETTER JEH FINAL FORM) -> U+0698
ﮌ	ڑ	U+FB8C (ARABIC LETTER RREH ISOLATED FORM) -> U+0691
ﮍ	ڑ	U+FB8D (ARABIC LETTER RREH FINAL FORM) -> U+0691
ﮎ	ک	U+FB8E (ARABIC LETTER KEHEH ISOLATED FORM) -> U+06A9
ﮏ	ک	U+FB8F (ARABIC LETTER KEHEH FINAL FORM) -> U+06A9
ﮐ	ک	U+FB90 (ARABIC LETTER KEHEH INITIAL FORM) -> U+06A9
ﮑ	ک	U+FB91 (ARABIC LETTER KEHEH MEDIAL FORM) -> U+06A9
ﮒ	گ	U+FB92 (ARABIC LETTER GAF ISOLATED FORM) -> U+06AF
ﮓ	گ	U+FB93 (ARABIC LETTER GAF FINAL FORM) -> U+06AF
ﮔ	گ	U+FB94 (ARABIC LETTER GAF INITIAL FORM) -> U+06AF
ﮕ	گ	U+FB95 (ARABIC LETTER GAF MEDIAL FORM) -> U+06AF
ﮖ	ڳ	U+FB96 (ARABIC LETTER GUEH ISOLATED FORM) -> U+06B3
ﮗ	ڳ	U+FB97 (ARABIC LETTER GUEH FINAL FORM) -> U+06B3
ﮘ	ڳ	U+FB98 (ARABIC LETTER GUEH INITIAL FORM) -> U+06B3
ﮙ	ڳ	U+FB99 (ARABIC LETTER GUEH MEDIAL FORM) -> U+06B3
ﮚ	ڱ	U+FB9A (ARABIC LETTER NGOEH ISOLATED FORM) -> U+06B1
ﮛ	ڱ	U+FB9B (ARABIC LETTER NGOEH FINAL FORM) -> U+06B1
ﮜ	ڱ	U+FB9C (ARABIC LETTER NGOEH INITIAL FORM) -> U+06B1
ﮝ	ڱ	U+FB9D (ARABIC LETTER NGOEH MEDIAL FORM) -> U+06B1
ﮞ	ں	U+FB9E (ARABIC LETTER NOON GHUNNA ISOLATED FORM) -> U+06BA
