MapFromString	MapToString	Comment # File CJKCompatibilityMappingAnnotated.tsv, automatically generated by script wildebeest_build.py (Ulf Hermjakob, USC/ISI) based on UnicodeData on Sep 28, 2020, 14:49:33
㋀	1月	U+32C0 (IDEOGRAPHIC TELEGRAPH SYMBOL FOR JANUARY) -> U+0031 (DIGIT ONE) U+6708 (CJK UNIFIED IDEOGRAPH-6708)
㋁	2月	U+32C1 (IDEOGRAPHIC TELEGRAPH SYMBOL FOR FEBRUARY) -> U+0032 (DIGIT TWO) U+6708 (CJK UNIFIED IDEOGRAPH-6708)
㋂	3月	U+32C2 (IDEOGRAPHIC TELEGRAPH SYMBOL FOR MARCH) -> U+0033 (DIGIT THREE) U+6708 (CJK UNIFIED IDEOGRAPH-6708)
㋃	4月	U+32C3 (IDEOGRAPHIC TELEGRAPH SYMBOL FOR APRIL) -> U+0034 (DIGIT FOUR) U+6708 (CJK UNIFIED IDEOGRAPH-6708)
㋄	5月	U+32C4 (IDEOGRAPHIC TELEGRAPH SYMBOL FOR MAY) -> U+0035 (DIGIT FIVE) U+6708 (CJK UNIFIED IDEOGRAPH-6708)
㋅	6月	U+32C5 (IDEOGRAPHIC TELEGRAPH SYMBOL FOR JUNE) -> U+0036 (DIGIT SIX) U+6708 (CJK UNIFIED IDEOGRAPH-6708)
㋆	7月	U+32C6 (IDEOGRAPHIC TELEGRAPH SYMBOL FOR JULY) -> U+0037 (DIGIT SEVEN) U+6708 (CJK UNIFIED IDEOGRAPH-6708)
㋇	8月	U+32C7 (IDEOGRAPHIC TELEGRAPH SYMBOL FOR AUGUST) -> U+0038 (DIGIT EIGHT) U+6708 (CJK UNIFIED IDEOGRAPH-6708)
㋈	9月	U+32C8 (IDEOGRAPHIC TELEGRAPH SYMBOL FOR SEPTEMBER) -> U+0039 (DIGIT NINE) U+6708 (CJK UNIFIED IDEOGRAPH-6708)
㋉	10月	U+32C9 (IDEOGRAPHIC TELEGRAPH SYMBOL FOR OCTOBER) -> U+0031 (DIGIT ONE) U+0030 (DIGIT ZERO) U+6708 (CJK UNIFIED IDEOGRAPH-6708)
㋊	11月	U+32CA (IDEOGRAPHIC TELEGRAPH SYMBOL FOR NOVEMBER) -> U+0031 (DIGIT ONE) U+0031 (DIGIT ONE) U+6708 (CJK UNIFIED IDEOGRAPH-6708)
㋋	12月	U+32CB (IDEOGRAPHIC TELEGRAPH SYMBOL FOR DECEMBER) -> U+0031 (DIGIT ONE) U+0032 (DIGIT TWO) U+6708 (CJK UNIFIED IDEOGRAPH-6708)
㋌	Hg	U+32CC (SQUARE HG) -> U+0048 (LATIN CAPITAL LETTER H) U+0067 (LATIN SMALL LETTER G)
㋍	erg	U+32CD (SQUARE ERG) -> U+0065 (LATIN SMALL LETTER E) U+0072 (LATIN SMALL LETTER R) U+0067 (LATIN SMALL LETTER G)
㋎	eV	U+32CE (SQUARE EV) -> U+0065 (LATIN SMALL LETTER E) U+0056 (LATIN CAPITAL LETTER V)
㋏	LTD	U+32CF (LIMITED LIABILITY SIGN) -> U+004C (LATIN CAPITAL LETTER L) U+0054 (LATIN CAPITAL LETTER T) U+0044 (LATIN CAPITAL LETTER D)
㌀	アパート	U+3300 (SQUARE APAATO) -> U+30A2 (KATAKANA LETTER A) U+30D1 (KATAKANA LETTER PA) U+30FC (KATAKANA-HIRAGANA PROLONGED SOUND MARK) U+30C8 (KATAKANA LETTER TO)
㌁	アルファ	U+3301 (SQUARE ARUHUA) -> U+30A2 (KATAKANA LETTER A) U+30EB (KATAKANA LETTER RU) U+30D5 (KATAKANA LETTER HU) U+30A1 (KATAKANA LETTER SMALL A)
㌂	アンペア	U+3302 (SQUARE ANPEA) -> U+30A2 (KATAKANA LETTER A) U+30F3 (KATAKANA LETTER N) U+30DA (KATAKANA LETTER PE) U+30A2 (KATAKANA LETTER A)
㌃	アール	U+3303 (SQUARE AARU) -> U+30A2 (KATAKANA LETTER A) U+30FC (KATAKANA-HIRAGANA PROLONGED SOUND MARK) U+30EB (KATAKANA LETTER RU)
㌄	イニング	U+3304 (SQUARE ININGU) -> U+30A4 (KATAKANA LETTER I) U+30CB (KATAKANA LETTER NI) U+30F3 (KATAKANA LETTER N) U+30B0 (KATAKANA LETTER GU)
㌅	インチ	U+3305 (SQUARE INTI) -> U+30A4 (KATAKANA LETTER I) U+30F3 (KATAKANA LETTER N) U+30C1 (KATAKANA LETTER TI)
㌆	ウォン	U+3306 (SQUARE UON) -> U+30A6 (KATAKANA LETTER U) U+30A9 (KATAKANA LETTER SMALL O) U+30F3 (KATAKANA LETTER N)
㌇	エスクード	U+3307 (SQUARE ESUKUUDO) -> U+30A8 (KATAKANA LETTER E) U+30B9 (KATAKANA LETTER SU) U+30AF (KATAKANA LETTER KU) U+30FC (KATAKANA-HIRAGANA PROLONGED SOUND MARK) U+30C9 (KATAKANA LETTER DO)
㌈	エーカー	U+3308 (SQUARE EEKAA) -> U+30A8 (KATAKANA LETTER E) U+30FC (KATAKANA-HIRAGANA PROLONGED SOUND MARK) U+30AB (KATAKANA LETTER KA) U+30FC (KATAKANA-HIRAGANA PROLONGED SOUND MARK)
㌉	オンス	U+3309 (SQUARE ONSU) -> U+30AA (KATAKANA LETTER O) U+30F3 (KATAKANA LETTER N) U+30B9 (KATAKANA LETTER SU)
㌊	オーム	U+330A (SQUARE OOMU) -> U+30AA (KATAKANA LETTER O) U+30FC (KATAKANA-HIRAGANA PROLONGED SOUND MARK) U+30E0 (KATAKANA LETTER MU)
㌋	カイリ	U+330B (SQUARE KAIRI) -> U+30AB (KATAKANA LETTER KA) U+30A4 (KATAKANA LETTER I) U+30EA (KATAKANA LETTER RI)
㌌	カラット	U+330C (SQUARE KARATTO) -> U+30AB (KATAKANA LETTER KA) U+30E9 (KATAKANA LETTER RA) U+30C3 (KATAKANA LETTER SMALL TU) U+30C8 (KATAKANA LETTER TO)
