MapFromString	MapToString	Comment # File CombiningModifierMappingAnnotated.tsv, automatically generated by script wildebeest_build.py (Ulf Hermjakob, USC/ISI) based on UnicodeData on Sep 28, 2020, 01:30:48
À	À	U+0041 U+0300 -> U+00C0 (LATIN CAPITAL LETTER A WITH GRAVE)
Á	Á	U+0041 U+0301 -> U+00C1 (LATIN CAPITAL LETTER A WITH ACUTE)
Â	Â	U+0041 U+0302 -> U+00C2 (LATIN CAPITAL LETTER A WITH CIRCUMFLEX)
Ã	Ã	U+0041 U+0303 -> U+00C3 (LATIN CAPITAL LETTER A WITH TILDE)
Ä	Ä	U+0041 U+0308 -> U+00C4 (LATIN CAPITAL LETTER A WITH DIAERESIS)
Å	Å	U+0041 U+030A -> U+00C5 (LATIN CAPITAL LETTER A WITH RING ABOVE)
Ç	Ç	U+0043 U+0327 -> U+00C7 (LATIN CAPITAL LETTER C WITH CEDILLA)
È	È	U+0045 U+0300 -> U+00C8 (LATIN CAPITAL LETTER E WITH GRAVE)
É	É	U+0045 U+0301 -> U+00C9 (LATIN CAPITAL LETTER E WITH ACUTE)
Ê	Ê	U+0045 U+0302 -> U+00CA (LATIN CAPITAL LETTER E WITH CIRCUMFLEX)
Ë	Ë	U+0045 U+0308 -> U+00CB (LATIN CAPITAL LETTER E WITH DIAERESIS)
Ì	Ì	U+0049 U+0300 -> U+00CC (LATIN CAPITAL LETTER I WITH GRAVE)
Í	Í	U+0049 U+0301 -> U+00CD (LATIN CAPITAL LETTER I WITH ACUTE)
Î	Î	U+0049 U+0302 -> U+00CE (LATIN CAPITAL LETTER I WITH CIRCUMFLEX)
Ï	Ï	U+0049 U+0308 -> U+00CF (LATIN CAPITAL LETTER I WITH DIAERESIS)
Ñ	Ñ	U+004E U+0303 -> U+00D1 (LATIN CAPITAL LETTER N WITH TILDE)
Ò	Ò	U+004F U+0300 -> U+00D2 (LATIN CAPITAL LETTER O WITH GRAVE)
Ó	Ó	U+004F U+0301 -> U+00D3 (LATIN CAPITAL LETTER O WITH ACUTE)
Ô	Ô	U+004F U+0302 -> U+00D4 (LATIN CAPITAL LETTER O WITH CIRCUMFLEX)
Õ	Õ	U+004F U+0303 -> U+00D5 (LATIN CAPITAL LETTER O WITH TILDE)
Ö	Ö	U+004F U+0308 -> U+00D6 (LATIN CAPITAL LETTER O WITH DIAERESIS)
Ù	Ù	U+0055 U+0300 -> U+00D9 (LATIN CAPITAL LETTER U WITH GRAVE)
Ú	Ú	U+0055 U+0301 -> U+00DA (LATIN CAPITAL LETTER U WITH ACUTE)
Û	Û	U+0055 U+0302 -> U+00DB (LATIN CAPITAL LETTER U WITH CIRCUMFLEX)
Ü	Ü	U+0055 U+0308 -> U+00DC (LATIN CAPITAL LETTER U WITH DIAERESIS)
Ý	Ý	U+0059 U+0301 -> U+00DD (LATIN CAPITAL LETTER Y WITH ACUTE)
à	à	U+0061 U+0300 -> U+00E0 (LATIN SMALL LETTER A WITH GRAVE)
á	á	U+0061 U+0301 -> U+00E1 (LATIN SMALL LETTER A WITH ACUTE)
â	â	U+0061 U+0302 -> U+00E2 (LATIN SMALL LETTER A WITH CIRCUMFLEX)
ã	ã	U+0061 U+0303 -> U+00E3 (LATIN SMALL LETTER A WITH TILDE)
ä	ä	U+0061 U+0308 -> U+00E4 (LATIN SMALL LETTER A WITH DIAERESIS)
å	å	U+0061 U+030A -> U+00E5 (LATIN SMALL LETTER A WITH RING ABOVE)
ç	ç	U+0063 U+0327 -> U+00E7 (LATIN SMALL LETTER C WITH CEDILLA)
è	è	U+0065 U+0300 -> U+00E8 (LATIN SMALL LETTER E WITH GRAVE)
é	é	U+0065 U+0301 -> U+00E9 (LATIN SMALL LETTER E WITH ACUTE)
ê	ê	U+0065 U+0302 -> U+00EA (LATIN SMALL LETTER E WITH CIRCUMFLEX)
ë	ë	U+0065 U+0308 -> U+00EB (LATIN SMALL LETTER E WITH DIAERESIS)
ì	ì	U+0069 U+0300 -> U+00EC (LATIN SMALL LETTER I WITH GRAVE)
í	í	U+0069 U+0301 -> U+00ED (LATIN SMALL LETTER I WITH ACUTE)
î	î	U+0069 U+0302 -> U+00EE (LATIN SMALL LETTER I WITH CIRCUMFLEX)
ï	ï	U+0069 U+0308 -> U+00EF (LATIN SMALL LETTER I WITH DIAERESIS)
ñ	ñ	U+006E U+0303 -> U+00F1 (LATIN SMALL LETTER N WITH TILDE)
ò	ò	U+006F U+0300 -> U+00F2 (LATIN SMALL LETTER O WITH GRAVE)
ó	ó	U+006F U+0301 -> U+00F3 (LATIN SMALL LETTER O WITH ACUTE)
ô	ô	U+006F U+0302 -> U+00F4 (LATIN SMALL LETTER O WITH CIRCUMFLEX)
õ	õ	U+006F U+0303 -> U+00F5 (LATIN SMALL LETTER O WITH TILDE)
ö	ö	U+006F U+0308 -> U+00F6 (LATIN SMALL LETTER O WITH DIAERESIS)
ù	ù	U+0075 U+0300 -> U+00F9 (LATIN SMALL LETTER U WITH GRAVE)
ú	ú	U+0075 U+0301 -> U+00FA (LATIN SMALL LETTER U WITH ACUTE)
û	û	U+0075 U+0302 -> U+00FB (LATIN SMALL LETTER U WITH CIRCUMFLEX)
ü	ü	U+0075 U+0308 -> U+00FC (LATIN SMALL LETTER U WITH DIAERESIS)
ý	ý	U+0079 U+0301 -> U+00FD (LATIN SMALL LETTER Y WITH ACUTE)
ÿ	ÿ	U+0079 U+0308 -> U+00FF (LATIN SMALL LETTER Y WITH DIAERESIS)
Ā	Ā	U+0041 U+0304 -> U+0100 (LATIN CAPITAL LETTER A WITH MACRON)
ā	ā	U+0061 U+0304 -> U+0101 (LATIN SMALL LETTER A WITH MACRON)
Ă	Ă	U+0041 U+0306 -> U+0102 (LATIN CAPITAL LETTER A WITH BREVE)
ă	ă	U+0061 U+0306 -> U+0103 (LATIN SMALL LETTER A WITH BREVE)
Ą	Ą	U+0041 U+0328 -> U+0104 (LATIN CAPITAL LETTER A WITH OGONEK)
ą	ą	U+0061 U+0328 -> U+0105 (LATIN SMALL LETTER A WITH OGONEK)
Ć	Ć	U+0043 U+0301 -> U+0106 (LATIN CAPITAL LETTER C WITH ACUTE)
ć	ć	U+0063 U+0301 -> U+0107 (LATIN SMALL LETTER C WITH ACUTE)
Ĉ	Ĉ	U+0043 U+0302 -> U+0108 (LATIN CAPITAL LETTER C WITH CIRCUMFLEX)
ĉ	ĉ	U+0063 U+0302 -> U+0109 (LATIN SMALL LETTER C WITH CIRCUMFLEX)
Ċ	Ċ	U+0043 U+0307 -> U+010A (LATIN CAPITAL LETTER C WITH DOT ABOVE)
ċ	ċ	U+0063 U+0307 -> U+010B (LATIN SMALL LETTER C WITH DOT ABOVE)
Č	Č	U+0043 U+030C -> U+010C (LATIN CAPITAL LETTER C WITH CARON)
č	č	U+0063 U+030C -> U+010D (LATIN SMALL LETTER C WITH CARON)
Ď	Ď	U+0044 U+030C -> U+010E (LATIN CAPITAL LETTER D WITH CARON)
ď	ď	U+0064 U+030C -> U+010F (LATIN SMALL LETTER D WITH CARON)
Ē	Ē	U+0045 U+0304 -> U+0112 (LATIN CAPITAL LETTER E WITH MACRON)
ē	ē	U+0065 U+0304 -> U+0113 (LATIN SMALL LETTER E WITH MACRON)
Ĕ	Ĕ	U+0045 U+0306 -> U+0114 (LATIN CAPITAL LETTER E WITH BREVE)
