MapFromString	MapToString	Comment # File CoreCompatibilityMappingAnnotated.tsv, automatically generated by script wildebeest_build.py (Ulf Hermjakob, USC/ISI) based on UnicodeData on Oct 05, 2020, 14:34:14
ำ	ํา	U+0E33 (THAI CHARACTER SARA AM) -> U+0E4D (THAI CHARACTER NIKHAHIT) U+0E32 (THAI CHARACTER SARA AA)
ຳ	ໍາ	U+0EB3 (LAO VOWEL SIGN AM) -> U+0ECD (LAO NIGGAHITA) U+0EB2 (LAO VOWEL SIGN AA)
ໜ	ຫນ	U+0EDC (LAO HO NO) -> U+0EAB (LAO LETTER HO SUNG) U+0E99 (LAO LETTER NO)
ໝ	ຫມ	U+0EDD (LAO HO MO) -> U+0EAB (LAO LETTER HO SUNG) U+0EA1 (LAO LETTER MO)
ཱི	ཱི	U+0F73 (TIBETAN VOWEL SIGN II) -> U+0F71 (TIBETAN VOWEL SIGN AA) U+0F72 (TIBETAN VOWEL SIGN I)
ཱུ	ཱུ	U+0F75 (TIBETAN VOWEL SIGN UU) -> U+0F71 (TIBETAN VOWEL SIGN AA) U+0F74 (TIBETAN VOWEL SIGN U)
ྲྀ	ྲྀ	U+0F76 (TIBETAN VOWEL SIGN VOCALIC R) -> U+0FB2 (TIBETAN SUBJOINED LETTER RA) U+0F80 (TIBETAN VOWEL SIGN REVERSED I)
ཷ	ྲཱྀ	U+0F77 (TIBETAN VOWEL SIGN VOCALIC RR) -> U+0FB2 (TIBETAN SUBJOINED LETTER RA) U+0F71 (TIBETAN VOWEL SIGN AA) U+0F80 (TIBETAN VOWEL SIGN REVERSED I)
ླྀ	ླྀ	U+0F78 (TIBETAN VOWEL SIGN VOCALIC L) -> U+0FB3 (TIBETAN SUBJOINED LETTER LA) U+0F80 (TIBETAN VOWEL SIGN REVERSED I)
ཹ	ླཱྀ	U+0F79 (TIBETAN VOWEL SIGN VOCALIC LL) -> U+0FB3 (TIBETAN SUBJOINED LETTER LA) U+0F71 (TIBETAN VOWEL SIGN AA) U+0F80 (TIBETAN VOWEL SIGN REVERSED I)
ཱྀ	ཱྀ	U+0F81 (TIBETAN VOWEL SIGN REVERSED II) -> U+0F71 (TIBETAN VOWEL SIGN AA) U+0F80 (TIBETAN VOWEL SIGN REVERSED I)
‑	‐	U+2011 (NON-BREAKING HYPHEN) -> U+2010 (HYPHEN)
․	.	U+2024 (ONE DOT LEADER) -> U+002E (FULL STOP)
‥	..	U+2025 (TWO DOT LEADER) -> U+002E (FULL STOP) U+002E (FULL STOP)
…	...	U+2026 (HORIZONTAL ELLIPSIS) -> U+002E (FULL STOP) U+002E (FULL STOP) U+002E (FULL STOP)
″	′′	U+2033 (DOUBLE PRIME) -> U+2032 (PRIME) U+2032 (PRIME)
‴	′′′	U+2034 (TRIPLE PRIME) -> U+2032 (PRIME) U+2032 (PRIME) U+2032 (PRIME)
‶	‵‵	U+2036 (REVERSED DOUBLE PRIME) -> U+2035 (REVERSED PRIME) U+2035 (REVERSED PRIME)
‷	‵‵‵	U+2037 (REVERSED TRIPLE PRIME) -> U+2035 (REVERSED PRIME) U+2035 (REVERSED PRIME) U+2035 (REVERSED PRIME)
‼	!!	U+203C (DOUBLE EXCLAMATION MARK) -> U+0021 (EXCLAMATION MARK) U+0021 (EXCLAMATION MARK)
⁇	??	U+2047 (DOUBLE QUESTION MARK) -> U+003F (QUESTION MARK) U+003F (QUESTION MARK)
⁈	?!	U+2048 (QUESTION EXCLAMATION MARK) -> U+003F (QUESTION MARK) U+0021 (EXCLAMATION MARK)
⁉	!?	U+2049 (EXCLAMATION QUESTION MARK) -> U+0021 (EXCLAMATION MARK) U+003F (QUESTION MARK)
⁗	′′′′	U+2057 (QUADRUPLE PRIME) -> U+2032 (PRIME) U+2032 (PRIME) U+2032 (PRIME) U+2032 (PRIME)
Ⅰ	I	U+2160 (ROMAN NUMERAL ONE) -> U+0049 (LATIN CAPITAL LETTER I)
Ⅱ	II	U+2161 (ROMAN NUMERAL TWO) -> U+0049 (LATIN CAPITAL LETTER I) U+0049 (LATIN CAPITAL LETTER I)
Ⅲ	III	U+2162 (ROMAN NUMERAL THREE) -> U+0049 (LATIN CAPITAL LETTER I) U+0049 (LATIN CAPITAL LETTER I) U+0049 (LATIN CAPITAL LETTER I)
Ⅳ	IV	U+2163 (ROMAN NUMERAL FOUR) -> U+0049 (LATIN CAPITAL LETTER I) U+0056 (LATIN CAPITAL LETTER V)
Ⅴ	V	U+2164 (ROMAN NUMERAL FIVE) -> U+0056 (LATIN CAPITAL LETTER V)
Ⅵ	VI	U+2165 (ROMAN NUMERAL SIX) -> U+0056 (LATIN CAPITAL LETTER V) U+0049 (LATIN CAPITAL LETTER I)
Ⅶ	VII	U+2166 (ROMAN NUMERAL SEVEN) -> U+0056 (LATIN CAPITAL LETTER V) U+0049 (LATIN CAPITAL LETTER I) U+0049 (LATIN CAPITAL LETTER I)
Ⅷ	VIII	U+2167 (ROMAN NUMERAL EIGHT) -> U+0056 (LATIN CAPITAL LETTER V) U+0049 (LATIN CAPITAL LETTER I) U+0049 (LATIN CAPITAL LETTER I) U+0049 (LATIN CAPITAL LETTER I)
