MapFromString	MapToString	Comment # File DigitMappingAnnotated.tsv, automatically generated by script wildebeest_build.py (Ulf Hermjakob, USC/ISI) based on UnicodeData on Oct 18, 2020, 17:54:45
٠	0	U+0660 (ARABIC-INDIC DIGIT ZERO) -> U+0030 (DIGIT ZERO)
١	1	U+0661 (ARABIC-INDIC DIGIT ONE) -> U+0031 (DIGIT ONE)
٢	2	U+0662 (ARABIC-INDIC DIGIT TWO) -> U+0032 (DIGIT TWO)
٣	3	U+0663 (ARABIC-INDIC DIGIT THREE) -> U+0033 (DIGIT THREE)
٤	4	U+0664 (ARABIC-INDIC DIGIT FOUR) -> U+0034 (DIGIT FOUR)
٥	5	U+0665 (ARABIC-INDIC DIGIT FIVE) -> U+0035 (DIGIT FIVE)
٦	6	U+0666 (ARABIC-INDIC DIGIT SIX) -> U+0036 (DIGIT SIX)
٧	7	U+0667 (ARABIC-INDIC DIGIT SEVEN) -> U+0037 (DIGIT SEVEN)
٨	8	U+0668 (ARABIC-INDIC DIGIT EIGHT) -> U+0038 (DIGIT EIGHT)
٩	9	U+0669 (ARABIC-INDIC DIGIT NINE) -> U+0039 (DIGIT NINE)
۰	0	U+06F0 (EXTENDED ARABIC-INDIC DIGIT ZERO) -> U+0030 (DIGIT ZERO)
۱	1	U+06F1 (EXTENDED ARABIC-INDIC DIGIT ONE) -> U+0031 (DIGIT ONE)
۲	2	U+06F2 (EXTENDED ARABIC-INDIC DIGIT TWO) -> U+0032 (DIGIT TWO)
۳	3	U+06F3 (EXTENDED ARABIC-INDIC DIGIT THREE) -> U+0033 (DIGIT THREE)
۴	4	U+06F4 (EXTENDED ARABIC-INDIC DIGIT FOUR) -> U+0034 (DIGIT FOUR)
۵	5	U+06F5 (EXTENDED ARABIC-INDIC DIGIT FIVE) -> U+0035 (DIGIT FIVE)
۶	6	U+06F6 (EXTENDED ARABIC-INDIC DIGIT SIX) -> U+0036 (DIGIT SIX)
۷	7	U+06F7 (EXTENDED ARABIC-INDIC DIGIT SEVEN) -> U+0037 (DIGIT SEVEN)
۸	8	U+06F8 (EXTENDED ARABIC-INDIC DIGIT EIGHT) -> U+0038 (DIGIT EIGHT)
۹	9	U+06F9 (EXTENDED ARABIC-INDIC DIGIT NINE) -> U+0039 (DIGIT NINE)
߀	0	U+07C0 (NKO DIGIT ZERO) -> U+0030 (DIGIT ZERO)
߁	1	U+07C1 (NKO DIGIT ONE) -> U+0031 (DIGIT ONE)
߂	2	U+07C2 (NKO DIGIT TWO) -> U+0032 (DIGIT TWO)
߃	3	U+07C3 (NKO DIGIT THREE) -> U+0033 (DIGIT THREE)
߄	4	U+07C4 (NKO DIGIT FOUR) -> U+0034 (DIGIT FOUR)
߅	5	U+07C5 (NKO DIGIT FIVE) -> U+0035 (DIGIT FIVE)
߆	6	U+07C6 (NKO DIGIT SIX) -> U+0036 (DIGIT SIX)
߇	7	U+07C7 (NKO DIGIT SEVEN) -> U+0037 (DIGIT SEVEN)
߈	8	U+07C8 (NKO DIGIT EIGHT) -> U+0038 (DIGIT EIGHT)
߉	9	U+07C9 (NKO DIGIT NINE) -> U+0039 (DIGIT NINE)
०	0	U+0966 (DEVANAGARI DIGIT ZERO) -> U+0030 (DIGIT ZERO)
१	1	U+0967 (DEVANAGARI DIGIT ONE) -> U+0031 (DIGIT ONE)
२	2	U+0968 (DEVANAGARI DIGIT TWO) -> U+0032 (DIGIT TWO)
३	3	U+0969 (DEVANAGARI DIGIT THREE) -> U+0033 (DIGIT THREE)
४	4	U+096A (DEVANAGARI DIGIT FOUR) -> U+0034 (DIGIT FOUR)
५	5	U+096B (DEVANAGARI DIGIT FIVE) -> U+0035 (DIGIT FIVE)
६	6	U+096C (DEVANAGARI DIGIT SIX) -> U+0036 (DIGIT SIX)
७	7	U+096D (DEVANAGARI DIGIT SEVEN) -> U+0037 (DIGIT SEVEN)
८	8	U+096E (DEVANAGARI DIGIT EIGHT) -> U+0038 (DIGIT EIGHT)
९	9	U+096F (DEVANAGARI DIGIT NINE) -> U+0039 (DIGIT NINE)
০	0	U+09E6 (BENGALI DIGIT ZERO) -> U+0030 (DIGIT ZERO)
১	1	U+09E7 (BENGALI DIGIT ONE) -> U+0031 (DIGIT ONE)
২	2	U+09E8 (BENGALI DIGIT TWO) -> U+0032 (DIGIT TWO)
৩	3	U+09E9 (BENGALI DIGIT THREE) -> U+0033 (DIGIT THREE)
৪	4	U+09EA (BENGALI DIGIT FOUR) -> U+0034 (DIGIT FOUR)
৫	5	U+09EB (BENGALI DIGIT FIVE) -> U+0035 (DIGIT FIVE)
৬	6	U+09EC (BENGALI DIGIT SIX) -> U+0036 (DIGIT SIX)
৭	7	U+09ED (BENGALI DIGIT SEVEN) -> U+0037 (DIGIT SEVEN)
৮	8	U+09EE (BENGALI DIGIT EIGHT) -> U+0038 (DIGIT EIGHT)
৯	9	U+09EF (BENGALI DIGIT NINE) -> U+0039 (DIGIT NINE)
੦	0	U+0A66 (GURMUKHI DIGIT ZERO) -> U+0030 (DIGIT ZERO)
੧	1	U+0A67 (GURMUKHI DIGIT ONE) -> U+0031 (DIGIT ONE)
੨	2	U+0A68 (GURMUKHI DIGIT TWO) -> U+0032 (DIGIT TWO)
੩	3	U+0A69 (GURMUKHI DIGIT THREE) -> U+0033 (DIGIT THREE)
੪	4	U+0A6A (GURMUKHI DIGIT FOUR) -> U+0034 (DIGIT FOUR)
੫	5	U+0A6B (GURMUKHI DIGIT FIVE) -> U+0035 (DIGIT FIVE)
੬	6	U+0A6C (GURMUKHI DIGIT SIX) -> U+0036 (DIGIT SIX)
੭	7	U+0A6D (GURMUKHI DIGIT SEVEN) -> U+0037 (DIGIT SEVEN)
੮	8	U+0A6E (GURMUKHI DIGIT EIGHT) -> U+0038 (DIGIT EIGHT)
੯	9	U+0A6F (GURMUKHI DIGIT NINE) -> U+0039 (DIGIT NINE)
૦	0	U+0AE6 (GUJARATI DIGIT ZERO) -> U+0030 (DIGIT ZERO)
૧	1	U+0AE7 (GUJARATI DIGIT ONE) -> U+0031 (DIGIT ONE)
૨	2	U+0AE8 (GUJARATI DIGIT TWO) -> U+0032 (DIGIT TWO)
૩	3	U+0AE9 (GUJARATI DIGIT THREE) -> U+0033 (DIGIT THREE)
૪	4	U+0AEA (GUJARATI DIGIT FOUR) -> U+0034 (DIGIT FOUR)
૫	5	U+0AEB (GUJARATI DIGIT FIVE) -> U+0035 (DIGIT FIVE)
૬	6	U+0AEC (GUJARATI DIGIT SIX) -> U+0036 (DIGIT SIX)
૭	7	U+0AED (GUJARATI DIGIT SEVEN) -> U+0037 (DIGIT SEVEN)
૮	8	U+0AEE (GUJARATI DIGIT EIGHT) -> U+0038 (DIGIT EIGHT)
૯	9	U+0AEF (GUJARATI DIGIT NINE) -> U+0039 (DIGIT NINE)
୦	0	U+0B66 (ORIYA DIGIT ZERO) -> U+0030 (DIGIT ZERO)
୧	1	U+0B67 (ORIYA DIGIT ONE) -> U+0031 (DIGIT ONE)
୨	2	U+0B68 (ORIYA DIGIT TWO) -> U+0032 (DIGIT TWO)
୩	3	U+0B69 (ORIYA DIGIT THREE) -> U+0033 (DIGIT THREE)
୪	4	U+0B6A (ORIYA DIGIT FOUR) -> U+0034 (DIGIT FOUR)
୫	5	U+0B6B (ORIYA DIGIT FIVE) -> U+0035 (DIGIT FIVE)
୬	6	U+0B6C (ORIYA DIGIT SIX) -> U+0036 (DIGIT SIX)
୭	7	U+0B6D (ORIYA DIGIT SEVEN) -> U+0037 (DIGIT SEVEN)
୮	8	U+0B6E (ORIYA DIGIT EIGHT) -> U+0038 (DIGIT EIGHT)
୯	9	U+0B6F (ORIYA DIGIT NINE) -> U+0039 (DIGIT NINE)
௦	0	U+0BE6 (TAMIL DIGIT ZERO) -> U+0030 (DIGIT ZERO)
௧	1	U+0BE7 (TAMIL DIGIT ONE) -> U+0031 (DIGIT ONE)
௨	2	U+0BE8 (TAMIL DIGIT TWO) -> U+0032 (DIGIT TWO)
௩	3	U+0BE9 (TAMIL DIGIT THREE) -> U+0033 (DIGIT THREE)
௪	4	U+0BEA (TAMIL DIGIT FOUR) -> U+0034 (DIGIT FOUR)
௫	5	U+0BEB (TAMIL DIGIT FIVE) -> U+0035 (DIGIT FIVE)
௬	6	U+0BEC (TAMIL DIGIT SIX) -> U+0036 (DIGIT SIX)
௭	7	U+0BED (TAMIL DIGIT SEVEN) -> U+0037 (DIGIT SEVEN)
௮	8	U+0BEE (TAMIL DIGIT EIGHT) -> U+0038 (DIGIT EIGHT)
௯	9	U+0BEF (TAMIL DIGIT NINE) -> U+0039 (DIGIT NINE)
౦	0	U+0C66 (TELUGU DIGIT ZERO) -> U+0030 (DIGIT ZERO)
౧	1	U+0C67 (TELUGU DIGIT ONE) -> U+0031 (DIGIT ONE)
౨	2	U+0C68 (TELUGU DIGIT TWO) -> U+0032 (DIGIT TWO)
౩	3	U+0C69 (TELUGU DIGIT THREE) -> U+0033 (DIGIT THREE)
౪	4	U+0C6A (TELUGU DIGIT FOUR) -> U+0034 (DIGIT FOUR)
౫	5	U+0C6B (TELUGU DIGIT FIVE) -> U+0035 (DIGIT FIVE)
౬	6	U+0C6C (TELUGU DIGIT SIX) -> U+0036 (DIGIT SIX)
౭	7	U+0C6D (TELUGU DIGIT SEVEN) -> U+0037 (DIGIT SEVEN)
౮	8	U+0C6E (TELUGU DIGIT EIGHT) -> U+0038 (DIGIT EIGHT)
౯	9	U+0C6F (TELUGU DIGIT NINE) -> U+0039 (DIGIT NINE)
೦	0	U+0CE6 (KANNADA DIGIT ZERO) -> U+0030 (DIGIT ZERO)
೧	1	U+0CE7 (KANNADA DIGIT ONE) -> U+0031 (DIGIT ONE)
೨	2	U+0CE8 (KANNADA DIGIT TWO) -> U+0032 (DIGIT TWO)
೩	3	U+0CE9 (KANNADA DIGIT THREE) -> U+0033 (DIGIT THREE)
೪	4	U+0CEA (KANNADA DIGIT FOUR) -> U+0034 (DIGIT FOUR)
೫	5	U+0CEB (KANNADA DIGIT FIVE) -> U+0035 (DIGIT FIVE)
೬	6	U+0CEC (KANNADA DIGIT SIX) -> U+0036 (DIGIT SIX)
