MapFromString	MapToString	Comment # File EnclosureMappingAnnotated.tsv, automatically generated by script wildebeest_build.py (Ulf Hermjakob, USC/ISI) based on UnicodeData on Oct 18, 2020, 17:54:45
①	(1)	U+2460 (CIRCLED DIGIT ONE) -> U+0028 (LEFT PARENTHESIS) U+0031 (DIGIT ONE) U+0029 (RIGHT PARENTHESIS)   NFKC-ref: 1
②	(2)	U+2461 (CIRCLED DIGIT TWO) -> U+0028 (LEFT PARENTHESIS) U+0032 (DIGIT TWO) U+0029 (RIGHT PARENTHESIS)   NFKC-ref: 2
③	(3)	U+2462 (CIRCLED DIGIT THREE) -> U+0028 (LEFT PARENTHESIS) U+0033 (DIGIT THREE) U+0029 (RIGHT PARENTHESIS)   NFKC-ref: 3
④	(4)	U+2463 (CIRCLED DIGIT FOUR) -> U+0028 (LEFT PARENTHESIS) U+0034 (DIGIT FOUR) U+0029 (RIGHT PARENTHESIS)   NFKC-ref: 4
⑤	(5)	U+2464 (CIRCLED DIGIT FIVE) -> U+0028 (LEFT PARENTHESIS) U+0035 (DIGIT FIVE) U+0029 (RIGHT PARENTHESIS)   NFKC-ref: 5
⑥	(6)	U+2465 (CIRCLED DIGIT SIX) -> U+0028 (LEFT PARENTHESIS) U+0036 (DIGIT SIX) U+0029 (RIGHT PARENTHESIS)   NFKC-ref: 6
⑦	(7)	U+2466 (CIRCLED DIGIT SEVEN) -> U+0028 (LEFT PARENTHESIS) U+0037 (DIGIT SEVEN) U+0029 (RIGHT PARENTHESIS)   NFKC-ref: 7
⑧	(8)	U+2467 (CIRCLED DIGIT EIGHT) -> U+0028 (LEFT PARENTHESIS) U+0038 (DIGIT EIGHT) U+0029 (RIGHT PARENTHESIS)   NFKC-ref: 8
⑨	(9)	U+2468 (CIRCLED DIGIT NINE) -> U+0028 (LEFT PARENTHESIS) U+0039 (DIGIT NINE) U+0029 (RIGHT PARENTHESIS)   NFKC-ref: 9
⑩	(10)	U+2469 (CIRCLED NUMBER TEN) -> U+0028 (LEFT PARENTHESIS) U+0031 (DIGIT ONE) U+0030 (DIGIT ZERO) U+0029 (RIGHT PARENTHESIS)   NFKC-ref: 10
⑪	(11)	U+246A (CIRCLED NUMBER ELEVEN) -> U+0028 (LEFT PARENTHESIS) U+0031 (DIGIT ONE) U+0031 (DIGIT ONE) U+0029 (RIGHT PARENTHESIS)   NFKC-ref: 11
⑫	(12)	U+246B (CIRCLED NUMBER TWELVE) -> U+0028 (LEFT PARENTHESIS) U+0031 (DIGIT ONE) U+0032 (DIGIT TWO) U+0029 (RIGHT PARENTHESIS)   NFKC-ref: 12
⑬	(13)	U+246C (CIRCLED NUMBER THIRTEEN) -> U+0028 (LEFT PARENTHESIS) U+0031 (DIGIT ONE) U+0033 (DIGIT THREE) U+0029 (RIGHT PARENTHESIS)   NFKC-ref: 13
⑭	(14)	U+246D (CIRCLED NUMBER FOURTEEN) -> U+0028 (LEFT PARENTHESIS) U+0031 (DIGIT ONE) U+0034 (DIGIT FOUR) U+0029 (RIGHT PARENTHESIS)   NFKC-ref: 14
⑮	(15)	U+246E (CIRCLED NUMBER FIFTEEN) -> U+0028 (LEFT PARENTHESIS) U+0031 (DIGIT ONE) U+0035 (DIGIT FIVE) U+0029 (RIGHT PARENTHESIS)   NFKC-ref: 15
⑯	(16)	U+246F (CIRCLED NUMBER SIXTEEN) -> U+0028 (LEFT PARENTHESIS) U+0031 (DIGIT ONE) U+0036 (DIGIT SIX) U+0029 (RIGHT PARENTHESIS)   NFKC-ref: 16
⑰	(17)	U+2470 (CIRCLED NUMBER SEVENTEEN) -> U+0028 (LEFT PARENTHESIS) U+0031 (DIGIT ONE) U+0037 (DIGIT SEVEN) U+0029 (RIGHT PARENTHESIS)   NFKC-ref: 17
⑱	(18)	U+2471 (CIRCLED NUMBER EIGHTEEN) -> U+0028 (LEFT PARENTHESIS) U+0031 (DIGIT ONE) U+0038 (DIGIT EIGHT) U+0029 (RIGHT PARENTHESIS)   NFKC-ref: 18
⑲	(19)	U+2472 (CIRCLED NUMBER NINETEEN) -> U+0028 (LEFT PARENTHESIS) U+0031 (DIGIT ONE) U+0039 (DIGIT NINE) U+0029 (RIGHT PARENTHESIS)   NFKC-ref: 19
⑳	(20)	U+2473 (CIRCLED NUMBER TWENTY) -> U+0028 (LEFT PARENTHESIS) U+0032 (DIGIT TWO) U+0030 (DIGIT ZERO) U+0029 (RIGHT PARENTHESIS)   NFKC-ref: 20
⑴	(1)	U+2474 (PARENTHESIZED DIGIT ONE) -> U+0028 (LEFT PARENTHESIS) U+0031 (DIGIT ONE) U+0029 (RIGHT PARENTHESIS)
⑵	(2)	U+2475 (PARENTHESIZED DIGIT TWO) -> U+0028 (LEFT PARENTHESIS) U+0032 (DIGIT TWO) U+0029 (RIGHT PARENTHESIS)
⑶	(3)	U+2476 (PARENTHESIZED DIGIT THREE) -> U+0028 (LEFT PARENTHESIS) U+0033 (DIGIT THREE) U+0029 (RIGHT PARENTHESIS)
⑷	(4)	U+2477 (PARENTHESIZED DIGIT FOUR) -> U+0028 (LEFT PARENTHESIS) U+0034 (DIGIT FOUR) U+0029 (RIGHT PARENTHESIS)
⑸	(5)	U+2478 (PARENTHESIZED DIGIT FIVE) -> U+0028 (LEFT PARENTHESIS) U+0035 (DIGIT FIVE) U+0029 (RIGHT PARENTHESIS)
⑹	(6)	U+2479 (PARENTHESIZED DIGIT SIX) -> U+0028 (LEFT PARENTHESIS) U+0036 (DIGIT SIX) U+0029 (RIGHT PARENTHESIS)
⑺	(7)	U+247A (PARENTHESIZED DIGIT SEVEN) -> U+0028 (LEFT PARENTHESIS) U+0037 (DIGIT SEVEN) U+0029 (RIGHT PARENTHESIS)
⑻	(8)	U+247B (PARENTHESIZED DIGIT EIGHT) -> U+0028 (LEFT PARENTHESIS) U+0038 (DIGIT EIGHT) U+0029 (RIGHT PARENTHESIS)
⑼	(9)	U+247C (PARENTHESIZED DIGIT NINE) -> U+0028 (LEFT PARENTHESIS) U+0039 (DIGIT NINE) U+0029 (RIGHT PARENTHESIS)
