Orig	Wildebeest	NFKC	Comment # File assert-preserve.tsv lists human-verified entries where Wildebeest does not perform any normalization, but NFKC does. Mostly superscripts, subscripts, fractions, non-combining diacritics; 1 ligature and 2 CJK radicals.
¨	¨	 ̈	U+00A8 (DIAERESIS) preserved DIACRITIC
ª	ª	a	U+00AA (FEMININE ORDINAL INDICATOR) preserved SUPERSCRIPT
¯	¯	 ̄	U+00AF (MACRON) preserved DIACRITIC
²	²	2	U+00B2 (SUPERSCRIPT TWO) preserved SUPERSCRIPT
³	³	3	U+00B3 (SUPERSCRIPT THREE) preserved SUPERSCRIPT
´	´	 ́	U+00B4 (ACUTE ACCENT) preserved DIACRITIC
¸	¸	 ̧	U+00B8 (CEDILLA) preserved DIACRITIC
¹	¹	1	U+00B9 (SUPERSCRIPT ONE) preserved SUPERSCRIPT
º	º	o	U+00BA (MASCULINE ORDINAL INDICATOR) preserved SUPERSCRIPT
¼	¼	1⁄4	U+00BC (VULGAR FRACTION ONE QUARTER) preserved FRACTION
½	½	1⁄2	U+00BD (VULGAR FRACTION ONE HALF) preserved FRACTION
¾	¾	3⁄4	U+00BE (VULGAR FRACTION THREE QUARTERS) preserved FRACTION
ʰ	ʰ	h	U+02B0 (MODIFIER LETTER SMALL H) preserved SUPERSCRIPT
ʱ	ʱ	ɦ	U+02B1 (MODIFIER LETTER SMALL H WITH HOOK) preserved SUPERSCRIPT
ʲ	ʲ	j	U+02B2 (MODIFIER LETTER SMALL J) preserved SUPERSCRIPT
ʳ	ʳ	r	U+02B3 (MODIFIER LETTER SMALL R) preserved SUPERSCRIPT
ʴ	ʴ	ɹ	U+02B4 (MODIFIER LETTER SMALL TURNED R) preserved SUPERSCRIPT
ʵ	ʵ	ɻ	U+02B5 (MODIFIER LETTER SMALL TURNED R WITH HOOK) preserved SUPERSCRIPT
ʶ	ʶ	ʁ	U+02B6 (MODIFIER LETTER SMALL CAPITAL INVERTED R) preserved SUPERSCRIPT
ʷ	ʷ	w	U+02B7 (MODIFIER LETTER SMALL W) preserved SUPERSCRIPT
ʸ	ʸ	y	U+02B8 (MODIFIER LETTER SMALL Y) preserved SUPERSCRIPT
˘	˘	 ̆	U+02D8 (BREVE) preserved DIACRITIC
˙	˙	 ̇	U+02D9 (DOT ABOVE) preserved DIACRITIC
˚	˚	 ̊	U+02DA (RING ABOVE) preserved DIACRITIC
˛	˛	 ̨	U+02DB (OGONEK) preserved DIACRITIC
˜	˜	 ̃	U+02DC (SMALL TILDE) preserved DIACRITIC
˝	˝	 ̋	U+02DD (DOUBLE ACUTE ACCENT) preserved DIACRITIC
ˠ	ˠ	ɣ	U+02E0 (MODIFIER LETTER SMALL GAMMA) preserved SUPERSCRIPT
ˡ	ˡ	l	U+02E1 (MODIFIER LETTER SMALL L) preserved SUPERSCRIPT
ˢ	ˢ	s	U+02E2 (MODIFIER LETTER SMALL S) preserved SUPERSCRIPT
ˣ	ˣ	x	U+02E3 (MODIFIER LETTER SMALL X) preserved SUPERSCRIPT
ˤ	ˤ	ʕ	U+02E4 (MODIFIER LETTER SMALL REVERSED GLOTTAL STOP) preserved SUPERSCRIPT
ͺ	ͺ	 ͅ	U+037A (GREEK YPOGEGRAMMENI) preserved DIACRITIC
΄	΄	 ́	U+0384 (GREEK TONOS) preserved DIACRITIC
΅	΅	 ̈́	U+0385 (GREEK DIALYTIKA TONOS) preserved DIACRITIC
և	և	եւ	U+0587 (ARMENIAN SMALL LIGATURE ECH YIWN) preserved LIGATURE
ٷ	ٷ	ۇٴ	U+0677 (ARABIC LETTER U WITH HAMZA ABOVE) preserved DIACRITIC
ჼ	ჼ	ნ	U+10FC (MODIFIER LETTER GEORGIAN NAR) preserved SUPERSCRIPT
ᴬ	ᴬ	A	U+1D2C (MODIFIER LETTER CAPITAL A) preserved SUPERSCRIPT
ᴭ	ᴭ	Æ	U+1D2D (MODIFIER LETTER CAPITAL AE) preserved SUPERSCRIPT
ᴮ	ᴮ	B	U+1D2E (MODIFIER LETTER CAPITAL B) preserved SUPERSCRIPT
ᴰ	ᴰ	D	U+1D30 (MODIFIER LETTER CAPITAL D) preserved SUPERSCRIPT
ᴱ	ᴱ	E	U+1D31 (MODIFIER LETTER CAPITAL E) preserved SUPERSCRIPT
ᴲ	ᴲ	Ǝ	U+1D32 (MODIFIER LETTER CAPITAL REVERSED E) preserved SUPERSCRIPT
ᴳ	ᴳ	G	U+1D33 (MODIFIER LETTER CAPITAL G) preserved SUPERSCRIPT
ᴴ	ᴴ	H	U+1D34 (MODIFIER LETTER CAPITAL H) preserved SUPERSCRIPT
ᴵ	ᴵ	I	U+1D35 (MODIFIER LETTER CAPITAL I) preserved SUPERSCRIPT
ᴶ	ᴶ	J	U+1D36 (MODIFIER LETTER CAPITAL J) preserved SUPERSCRIPT
ᴷ	ᴷ	K	U+1D37 (MODIFIER LETTER CAPITAL K) preserved SUPERSCRIPT
ᴸ	ᴸ	L	U+1D38 (MODIFIER LETTER CAPITAL L) preserved SUPERSCRIPT
ᴹ	ᴹ	M	U+1D39 (MODIFIER LETTER CAPITAL M) preserved SUPERSCRIPT
ᴺ	ᴺ	N	U+1D3A (MODIFIER LETTER CAPITAL N) preserved SUPERSCRIPT
ᴼ	ᴼ	O	U+1D3C (MODIFIER LETTER CAPITAL O) preserved SUPERSCRIPT
ᴽ	ᴽ	Ȣ	U+1D3D (MODIFIER LETTER CAPITAL OU) preserved SUPERSCRIPT
ᴾ	ᴾ	P	U+1D3E (MODIFIER LETTER CAPITAL P) preserved SUPERSCRIPT
ᴿ	ᴿ	R	U+1D3F (MODIFIER LETTER CAPITAL R) preserved SUPERSCRIPT
ᵀ	ᵀ	T	U+1D40 (MODIFIER LETTER CAPITAL T) preserved SUPERSCRIPT
ᵁ	ᵁ	U	U+1D41 (MODIFIER LETTER CAPITAL U) preserved SUPERSCRIPT
ᵂ	ᵂ	W	U+1D42 (MODIFIER LETTER CAPITAL W) preserved SUPERSCRIPT
ᵃ	ᵃ	a	U+1D43 (MODIFIER LETTER SMALL A) preserved SUPERSCRIPT
ᵄ	ᵄ	ɐ	U+1D44 (MODIFIER LETTER SMALL TURNED A) preserved SUPERSCRIPT
ᵅ	ᵅ	ɑ	U+1D45 (MODIFIER LETTER SMALL ALPHA) preserved SUPERSCRIPT
ᵆ	ᵆ	ᴂ	U+1D46 (MODIFIER LETTER SMALL TURNED AE) preserved SUPERSCRIPT
ᵇ	ᵇ	b	U+1D47 (MODIFIER LETTER SMALL B) preserved SUPERSCRIPT
ᵈ	ᵈ	d	U+1D48 (MODIFIER LETTER SMALL D) preserved SUPERSCRIPT
ᵉ	ᵉ	e	U+1D49 (MODIFIER LETTER SMALL E) preserved SUPERSCRIPT
ᵊ	ᵊ	ə	U+1D4A (MODIFIER LETTER SMALL SCHWA) preserved SUPERSCRIPT
ᵋ	ᵋ	ɛ	U+1D4B (MODIFIER LETTER SMALL OPEN E) preserved SUPERSCRIPT
ᵌ	ᵌ	ɜ	U+1D4C (MODIFIER LETTER SMALL TURNED OPEN E) preserved SUPERSCRIPT
