MapFromString	MapToString	Comment # File ArabicPresentationFormMappingAnnotated.tsv, automatically generated by script wildebeest_build.py (Ulf Hermjakob, USC/ISI) based on UnicodeData on Oct 18, 2020, 17:54:45
ﭐ	ٱ	U+FB50 (ARABIC LETTER ALEF WASLA ISOLATED FORM) -> U+0671 (ARABIC LETTER ALEF WASLA)
ﭑ	ٱ	U+FB51 (ARABIC LETTER ALEF WASLA FINAL FORM) -> U+0671 (ARABIC LETTER ALEF WASLA)
ﭒ	ٻ	U+FB52 (ARABIC LETTER BEEH ISOLATED FORM) -> U+067B (ARABIC LETTER BEEH)
ﭓ	ٻ	U+FB53 (ARABIC LETTER BEEH FINAL FORM) -> U+067B (ARABIC LETTER BEEH)
ﭔ	ٻ	U+FB54 (ARABIC LETTER BEEH INITIAL FORM) -> U+067B (ARABIC LETTER BEEH)
ﭕ	ٻ	U+FB55 (ARABIC LETTER BEEH MEDIAL FORM) -> U+067B (ARABIC LETTER BEEH)
ﭖ	پ	U+FB56 (ARABIC LETTER PEH ISOLATED FORM) -> U+067E (ARABIC LETTER PEH)
ﭗ	پ	U+FB57 (ARABIC LETTER PEH FINAL FORM) -> U+067E (ARABIC LETTER PEH)
ﭘ	پ	U+FB58 (ARABIC LETTER PEH INITIAL FORM) -> U+067E (ARABIC LETTER PEH)
ﭙ	پ	U+FB59 (ARABIC LETTER PEH MEDIAL FORM) -> U+067E (ARABIC LETTER PEH)
ﭚ	ڀ	U+FB5A (ARABIC LETTER BEHEH ISOLATED FORM) -> U+0680 (ARABIC LETTER BEHEH)
ﭛ	ڀ	U+FB5B (ARABIC LETTER BEHEH FINAL FORM) -> U+0680 (ARABIC LETTER BEHEH)
ﭜ	ڀ	U+FB5C (ARABIC LETTER BEHEH INITIAL FORM) -> U+0680 (ARABIC LETTER BEHEH)
ﭝ	ڀ	U+FB5D (ARABIC LETTER BEHEH MEDIAL FORM) -> U+0680 (ARABIC LETTER BEHEH)
