MapFromString	MapToString	Comment # File CJKCompatibilityMappingAnnotated.tsv, automatically generated by script wildebeest_build.py (Ulf Hermjakob, USC/ISI) based on UnicodeData on Oct 18, 2020, 17:54:45
⼀	一	U+2F00 (KANGXI RADICAL ONE) -> U+4E00 (CJK UNIFIED IDEOGRAPH-4E00)
⼁	丨	U+2F01 (KANGXI RADICAL LINE) -> U+4E28 (CJK UNIFIED IDEOGRAPH-4E28)
⼂	丶	U+2F02 (KANGXI RADICAL DOT) -> U+4E36 (CJK UNIFIED IDEOGRAPH-4E36)
⼃	丿	U+2F03 (KANGXI RADICAL SLASH) -> U+4E3F (CJK UNIFIED IDEOGRAPH-4E3F)
⼄	乙	U+2F04 (KANGXI RADICAL SECOND) -> U+4E59 (CJK UNIFIED IDEOGRAPH-4E59)
⼅	亅	U+2F05 (KANGXI RADICAL HOOK) -> U+4E85 (CJK UNIFIED IDEOGRAPH-4E85)
⼆	二	U+2F06 (KANGXI RADICAL TWO) -> U+4E8C (CJK UNIFIED IDEOGRAPH-4E8C)
⼇	亠	U+2F07 (KANGXI RADICAL LID) -> U+4EA0 (CJK UNIFIED IDEOGRAPH-4EA0)
⼈	人	U+2F08 (KANGXI RADICAL MAN) -> U+4EBA (CJK UNIFIED IDEOGRAPH-4EBA)
⼉	儿	U+2F09 (KANGXI RADICAL LEGS) -> U+513F (CJK UNIFIED IDEOGRAPH-513F)
⼊	入	U+2F0A (KANGXI RADICAL ENTER) -> U+5165 (CJK UNIFIED IDEOGRAPH-5165)
⼋	八	U+2F0B (KANGXI RADICAL EIGHT) -> U+516B (CJK UNIFIED IDEOGRAPH-516B)
⼌	冂	U+2F0C (KANGXI RADICAL DOWN BOX) -> U+5182 (CJK UNIFIED IDEOGRAPH-5182)
⼍	冖	U+2F0D (KANGXI RADICAL COVER) -> U+5196 (CJK UNIFIED IDEOGRAPH-5196)
⼎	冫	U+2F0E (KANGXI RADICAL ICE) -> U+51AB (CJK UNIFIED IDEOGRAPH-51AB)
⼏	几	U+2F0F (KANGXI RADICAL TABLE) -> U+51E0 (CJK UNIFIED IDEOGRAPH-51E0)
⼐	凵	U+2F10 (KANGXI RADICAL OPEN BOX) -> U+51F5 (CJK UNIFIED IDEOGRAPH-51F5)
⼑	刀	U+2F11 (KANGXI RADICAL KNIFE) -> U+5200 (CJK UNIFIED IDEOGRAPH-5200)
⼒	力	U+2F12 (KANGXI RADICAL POWER) -> U+529B (CJK UNIFIED IDEOGRAPH-529B)
⼓	勹	U+2F13 (KANGXI RADICAL WRAP) -> U+52F9 (CJK UNIFIED IDEOGRAPH-52F9)
⼔	匕	U+2F14 (KANGXI RADICAL SPOON) -> U+5315 (CJK UNIFIED IDEOGRAPH-5315)
⼕	匚	U+2F15 (KANGXI RADICAL RIGHT OPEN BOX) -> U+531A (CJK UNIFIED IDEOGRAPH-531A)
⼖	匸	U+2F16 (KANGXI RADICAL HIDING ENCLOSURE) -> U+5338 (CJK UNIFIED IDEOGRAPH-5338)
⼗	十	U+2F17 (KANGXI RADICAL TEN) -> U+5341 (CJK UNIFIED IDEOGRAPH-5341)
⼘	卜	U+2F18 (KANGXI RADICAL DIVINATION) -> U+535C (CJK UNIFIED IDEOGRAPH-535C)
⼙	卩	U+2F19 (KANGXI RADICAL SEAL) -> U+5369 (CJK UNIFIED IDEOGRAPH-5369)
⼚	厂	U+2F1A (KANGXI RADICAL CLIFF) -> U+5382 (CJK UNIFIED IDEOGRAPH-5382)
⼛	厶	U+2F1B (KANGXI RADICAL PRIVATE) -> U+53B6 (CJK UNIFIED IDEOGRAPH-53B6)
⼜	又	U+2F1C (KANGXI RADICAL AGAIN) -> U+53C8 (CJK UNIFIED IDEOGRAPH-53C8)
⼝	口	U+2F1D (KANGXI RADICAL MOUTH) -> U+53E3 (CJK UNIFIED IDEOGRAPH-53E3)
⼞	囗	U+2F1E (KANGXI RADICAL ENCLOSURE) -> U+56D7 (CJK UNIFIED IDEOGRAPH-56D7)
⼟	土	U+2F1F (KANGXI RADICAL EARTH) -> U+571F (CJK UNIFIED IDEOGRAPH-571F)
⼠	士	U+2F20 (KANGXI RADICAL SCHOLAR) -> U+58EB (CJK UNIFIED IDEOGRAPH-58EB)
⼡	夂	U+2F21 (KANGXI RADICAL GO) -> U+5902 (CJK UNIFIED IDEOGRAPH-5902)
⼢	夊	U+2F22 (KANGXI RADICAL GO SLOWLY) -> U+590A (CJK UNIFIED IDEOGRAPH-590A)
⼣	夕	U+2F23 (KANGXI RADICAL EVENING) -> U+5915 (CJK UNIFIED IDEOGRAPH-5915)
⼤	大	U+2F24 (KANGXI RADICAL BIG) -> U+5927 (CJK UNIFIED IDEOGRAPH-5927)
⼥	女	U+2F25 (KANGXI RADICAL WOMAN) -> U+5973 (CJK UNIFIED IDEOGRAPH-5973)
⼦	子	U+2F26 (KANGXI RADICAL CHILD) -> U+5B50 (CJK UNIFIED IDEOGRAPH-5B50)
⼧	宀	U+2F27 (KANGXI RADICAL ROOF) -> U+5B80 (CJK UNIFIED IDEOGRAPH-5B80)
⼨	寸	U+2F28 (KANGXI RADICAL INCH) -> U+5BF8 (CJK UNIFIED IDEOGRAPH-5BF8)
⼩	小	U+2F29 (KANGXI RADICAL SMALL) -> U+5C0F (CJK UNIFIED IDEOGRAPH-5C0F)
⼪	尢	U+2F2A (KANGXI RADICAL LAME) -> U+5C22 (CJK UNIFIED IDEOGRAPH-5C22)
⼫	尸	U+2F2B (KANGXI RADICAL CORPSE) -> U+5C38 (CJK UNIFIED IDEOGRAPH-5C38)
⼬	屮	U+2F2C (KANGXI RADICAL SPROUT) -> U+5C6E (CJK UNIFIED IDEOGRAPH-5C6E)
⼭	山	U+2F2D (KANGXI RADICAL MOUNTAIN) -> U+5C71 (CJK UNIFIED IDEOGRAPH-5C71)
⼮	巛	U+2F2E (KANGXI RADICAL RIVER) -> U+5DDB (CJK UNIFIED IDEOGRAPH-5DDB)
⼯	工	U+2F2F (KANGXI RADICAL WORK) -> U+5DE5 (CJK UNIFIED IDEOGRAPH-5DE5)
⼰	己	U+2F30 (KANGXI RADICAL ONESELF) -> U+5DF1 (CJK UNIFIED IDEOGRAPH-5DF1)
⼱	巾	U+2F31 (KANGXI RADICAL TURBAN) -> U+5DFE (CJK UNIFIED IDEOGRAPH-5DFE)
⼲	干	U+2F32 (KANGXI RADICAL DRY) -> U+5E72 (CJK UNIFIED IDEOGRAPH-5E72)
⼳	幺	U+2F33 (KANGXI RADICAL SHORT THREAD) -> U+5E7A (CJK UNIFIED IDEOGRAPH-5E7A)
⼴	广	U+2F34 (KANGXI RADICAL DOTTED CLIFF) -> U+5E7F (CJK UNIFIED IDEOGRAPH-5E7F)
⼵	廴	U+2F35 (KANGXI RADICAL LONG STRIDE) -> U+5EF4 (CJK UNIFIED IDEOGRAPH-5EF4)
⼶	廾	U+2F36 (KANGXI RADICAL TWO HANDS) -> U+5EFE (CJK UNIFIED IDEOGRAPH-5EFE)
⼷	弋	U+2F37 (KANGXI RADICAL SHOOT) -> U+5F0B (CJK UNIFIED IDEOGRAPH-5F0B)
⼸	弓	U+2F38 (KANGXI RADICAL BOW) -> U+5F13 (CJK UNIFIED IDEOGRAPH-5F13)
⼹	彐	U+2F39 (KANGXI RADICAL SNOUT) -> U+5F50 (CJK UNIFIED IDEOGRAPH-5F50)
⼺	彡	U+2F3A (KANGXI RADICAL BRISTLE) -> U+5F61 (CJK UNIFIED IDEOGRAPH-5F61)
⼻	彳	U+2F3B (KANGXI RADICAL STEP) -> U+5F73 (CJK UNIFIED IDEOGRAPH-5F73)
⼼	心	U+2F3C (KANGXI RADICAL HEART) -> U+5FC3 (CJK UNIFIED IDEOGRAPH-5FC3)
⼽	戈	U+2F3D (KANGXI RADICAL HALBERD) -> U+6208 (CJK UNIFIED IDEOGRAPH-6208)
⼾	戶	U+2F3E (KANGXI RADICAL DOOR) -> U+6236 (CJK UNIFIED IDEOGRAPH-6236)
⼿	手	U+2F3F (KANGXI RADICAL HAND) -> U+624B (CJK UNIFIED IDEOGRAPH-624B)
⽀	支	U+2F40 (KANGXI RADICAL BRANCH) -> U+652F (CJK UNIFIED IDEOGRAPH-652F)
⽁	攴	U+2F41 (KANGXI RADICAL RAP) -> U+6534 (CJK UNIFIED IDEOGRAPH-6534)
⽂	文	U+2F42 (KANGXI RADICAL SCRIPT) -> U+6587 (CJK UNIFIED IDEOGRAPH-6587)
⽃	斗	U+2F43 (KANGXI RADICAL DIPPER) -> U+6597 (CJK UNIFIED IDEOGRAPH-6597)
⽄	斤	U+2F44 (KANGXI RADICAL AXE) -> U+65A4 (CJK UNIFIED IDEOGRAPH-65A4)
⽅	方	U+2F45 (KANGXI RADICAL SQUARE) -> U+65B9 (CJK UNIFIED IDEOGRAPH-65B9)
⽆	无	U+2F46 (KANGXI RADICAL NOT) -> U+65E0 (CJK UNIFIED IDEOGRAPH-65E0)
⽇	日	U+2F47 (KANGXI RADICAL SUN) -> U+65E5 (CJK UNIFIED IDEOGRAPH-65E5)
⽈	曰	U+2F48 (KANGXI RADICAL SAY) -> U+66F0 (CJK UNIFIED IDEOGRAPH-66F0)
⽉	月	U+2F49 (KANGXI RADICAL MOON) -> U+6708 (CJK UNIFIED IDEOGRAPH-6708)
⽊	木	U+2F4A (KANGXI RADICAL TREE) -> U+6728 (CJK UNIFIED IDEOGRAPH-6728)
⽋	欠	U+2F4B (KANGXI RADICAL LACK) -> U+6B20 (CJK UNIFIED IDEOGRAPH-6B20)
⽌	止	U+2F4C (KANGXI RADICAL STOP) -> U+6B62 (CJK UNIFIED IDEOGRAPH-6B62)
⽍	歹	U+2F4D (KANGXI RADICAL DEATH) -> U+6B79 (CJK UNIFIED IDEOGRAPH-6B79)
⽎	殳	U+2F4E (KANGXI RADICAL WEAPON) -> U+6BB3 (CJK UNIFIED IDEOGRAPH-6BB3)
⽏	毋	U+2F4F (KANGXI RADICAL DO NOT) -> U+6BCB (CJK UNIFIED IDEOGRAPH-6BCB)
⽐	比	U+2F50 (KANGXI RADICAL COMPARE) -> U+6BD4 (CJK UNIFIED IDEOGRAPH-6BD4)
⽑	毛	U+2F51 (KANGXI RADICAL FUR) -> U+6BDB (CJK UNIFIED IDEOGRAPH-6BDB)
⽒	氏	U+2F52 (KANGXI RADICAL CLAN) -> U+6C0F (CJK UNIFIED IDEOGRAPH-6C0F)
⽓	气	U+2F53 (KANGXI RADICAL STEAM) -> U+6C14 (CJK UNIFIED IDEOGRAPH-6C14)
⽔	水	U+2F54 (KANGXI RADICAL WATER) -> U+6C34 (CJK UNIFIED IDEOGRAPH-6C34)
⽕	火	U+2F55 (KANGXI RADICAL FIRE) -> U+706B (CJK UNIFIED IDEOGRAPH-706B)
⽖	爪	U+2F56 (KANGXI RADICAL CLAW) -> U+722A (CJK UNIFIED IDEOGRAPH-722A)
⽗	父	U+2F57 (KANGXI RADICAL FATHER) -> U+7236 (CJK UNIFIED IDEOGRAPH-7236)
⽘	爻	U+2F58 (KANGXI RADICAL DOUBLE X) -> U+723B (CJK UNIFIED IDEOGRAPH-723B)
⽙	爿	U+2F59 (KANGXI RADICAL HALF TREE TRUNK) -> U+723F (CJK UNIFIED IDEOGRAPH-723F)
⽚	片	U+2F5A (KANGXI RADICAL SLICE) -> U+7247 (CJK UNIFIED IDEOGRAPH-7247)
⽛	牙	U+2F5B (KANGXI RADICAL FANG) -> U+7259 (CJK UNIFIED IDEOGRAPH-7259)
⽜	牛	U+2F5C (KANGXI RADICAL COW) -> U+725B (CJK UNIFIED IDEOGRAPH-725B)
⽝	犬	U+2F5D (KANGXI RADICAL DOG) -> U+72AC (CJK UNIFIED IDEOGRAPH-72AC)
⽞	玄	U+2F5E (KANGXI RADICAL PROFOUND) -> U+7384 (CJK UNIFIED IDEOGRAPH-7384)
⽟	玉	U+2F5F (KANGXI RADICAL JADE) -> U+7389 (CJK UNIFIED IDEOGRAPH-7389)
⽠	瓜	U+2F60 (KANGXI RADICAL MELON) -> U+74DC (CJK UNIFIED IDEOGRAPH-74DC)
⽡	瓦	U+2F61 (KANGXI RADICAL TILE) -> U+74E6 (CJK UNIFIED IDEOGRAPH-74E6)
⽢	甘	U+2F62 (KANGXI RADICAL SWEET) -> U+7518 (CJK UNIFIED IDEOGRAPH-7518)
⽣	生	U+2F63 (KANGXI RADICAL LIFE) -> U+751F (CJK UNIFIED IDEOGRAPH-751F)
⽤	用	U+2F64 (KANGXI RADICAL USE) -> U+7528 (CJK UNIFIED IDEOGRAPH-7528)
⽥	田	U+2F65 (KANGXI RADICAL FIELD) -> U+7530 (CJK UNIFIED IDEOGRAPH-7530)
⽦	疋	U+2F66 (KANGXI RADICAL BOLT OF CLOTH) -> U+758B (CJK UNIFIED IDEOGRAPH-758B)
⽧	疒	U+2F67 (KANGXI RADICAL SICKNESS) -> U+7592 (CJK UNIFIED IDEOGRAPH-7592)
⽨	癶	U+2F68 (KANGXI RADICAL DOTTED TENT) -> U+7676 (CJK UNIFIED IDEOGRAPH-7676)
⽩	白	U+2F69 (KANGXI RADICAL WHITE) -> U+767D (CJK UNIFIED IDEOGRAPH-767D)
⽪	皮	U+2F6A (KANGXI RADICAL SKIN) -> U+76AE (CJK UNIFIED IDEOGRAPH-76AE)
⽫	皿	U+2F6B (KANGXI RADICAL DISH) -> U+76BF (CJK UNIFIED IDEOGRAPH-76BF)
⽬	目	U+2F6C (KANGXI RADICAL EYE) -> U+76EE (CJK UNIFIED IDEOGRAPH-76EE)
⽭	矛	U+2F6D (KANGXI RADICAL SPEAR) -> U+77DB (CJK UNIFIED IDEOGRAPH-77DB)
⽮	矢	U+2F6E (KANGXI RADICAL ARROW) -> U+77E2 (CJK UNIFIED IDEOGRAPH-77E2)
⽯	石	U+2F6F (KANGXI RADICAL STONE) -> U+77F3 (CJK UNIFIED IDEOGRAPH-77F3)
⽰	示	U+2F70 (KANGXI RADICAL SPIRIT) -> U+793A (CJK UNIFIED IDEOGRAPH-793A)
⽱	禸	U+2F71 (KANGXI RADICAL TRACK) -> U+79B8 (CJK UNIFIED IDEOGRAPH-79B8)
⽲	禾	U+2F72 (KANGXI RADICAL GRAIN) -> U+79BE (CJK UNIFIED IDEOGRAPH-79BE)
⽳	穴	U+2F73 (KANGXI RADICAL CAVE) -> U+7A74 (CJK UNIFIED IDEOGRAPH-7A74)
⽴	立	U+2F74 (KANGXI RADICAL STAND) -> U+7ACB (CJK UNIFIED IDEOGRAPH-7ACB)
⽵	竹	U+2F75 (KANGXI RADICAL BAMBOO) -> U+7AF9 (CJK UNIFIED IDEOGRAPH-7AF9)
⽶	米	U+2F76 (KANGXI RADICAL RICE) -> U+7C73 (CJK UNIFIED IDEOGRAPH-7C73)
⽷	糸	U+2F77 (KANGXI RADICAL SILK) -> U+7CF8 (CJK UNIFIED IDEOGRAPH-7CF8)
⽸	缶	U+2F78 (KANGXI RADICAL JAR) -> U+7F36 (CJK UNIFIED IDEOGRAPH-7F36)
⽹	网	U+2F79 (KANGXI RADICAL NET) -> U+7F51 (CJK UNIFIED IDEOGRAPH-7F51)
⽺	羊	U+2F7A (KANGXI RADICAL SHEEP) -> U+7F8A (CJK UNIFIED IDEOGRAPH-7F8A)
⽻	羽	U+2F7B (KANGXI RADICAL FEATHER) -> U+7FBD (CJK UNIFIED IDEOGRAPH-7FBD)
⽼	老	U+2F7C (KANGXI RADICAL OLD) -> U+8001 (CJK UNIFIED IDEOGRAPH-8001)
⽽	而	U+2F7D (KANGXI RADICAL AND) -> U+800C (CJK UNIFIED IDEOGRAPH-800C)
⽾	耒	U+2F7E (KANGXI RADICAL PLOW) -> U+8012 (CJK UNIFIED IDEOGRAPH-8012)
⽿	耳	U+2F7F (KANGXI RADICAL EAR) -> U+8033 (CJK UNIFIED IDEOGRAPH-8033)
⾀	聿	U+2F80 (KANGXI RADICAL BRUSH) -> U+807F (CJK UNIFIED IDEOGRAPH-807F)
⾁	肉	U+2F81 (KANGXI RADICAL MEAT) -> U+8089 (CJK UNIFIED IDEOGRAPH-8089)
⾂	臣	U+2F82 (KANGXI RADICAL MINISTER) -> U+81E3 (CJK UNIFIED IDEOGRAPH-81E3)
⾃	自	U+2F83 (KANGXI RADICAL SELF) -> U+81EA (CJK UNIFIED IDEOGRAPH-81EA)
⾄	至	U+2F84 (KANGXI RADICAL ARRIVE) -> U+81F3 (CJK UNIFIED IDEOGRAPH-81F3)
⾅	臼	U+2F85 (KANGXI RADICAL MORTAR) -> U+81FC (CJK UNIFIED IDEOGRAPH-81FC)
⾆	舌	U+2F86 (KANGXI RADICAL TONGUE) -> U+820C (CJK UNIFIED IDEOGRAPH-820C)
⾇	舛	U+2F87 (KANGXI RADICAL OPPOSE) -> U+821B (CJK UNIFIED IDEOGRAPH-821B)
⾈	舟	U+2F88 (KANGXI RADICAL BOAT) -> U+821F (CJK UNIFIED IDEOGRAPH-821F)
⾉	艮	U+2F89 (KANGXI RADICAL STOPPING) -> U+826E (CJK UNIFIED IDEOGRAPH-826E)
⾊	色	U+2F8A (KANGXI RADICAL COLOR) -> U+8272 (CJK UNIFIED IDEOGRAPH-8272)
⾋	艸	U+2F8B (KANGXI RADICAL GRASS) -> U+8278 (CJK UNIFIED IDEOGRAPH-8278)
⾌	虍	U+2F8C (KANGXI RADICAL TIGER) -> U+864D (CJK UNIFIED IDEOGRAPH-864D)
⾍	虫	U+2F8D (KANGXI RADICAL INSECT) -> U+866B (CJK UNIFIED IDEOGRAPH-866B)
⾎	血	U+2F8E (KANGXI RADICAL BLOOD) -> U+8840 (CJK UNIFIED IDEOGRAPH-8840)
⾏	行	U+2F8F (KANGXI RADICAL WALK ENCLOSURE) -> U+884C (CJK UNIFIED IDEOGRAPH-884C)
⾐	衣	U+2F90 (KANGXI RADICAL CLOTHES) -> U+8863 (CJK UNIFIED IDEOGRAPH-8863)
⾑	襾	U+2F91 (KANGXI RADICAL WEST) -> U+897E (CJK UNIFIED IDEOGRAPH-897E)
⾒	見	U+2F92 (KANGXI RADICAL SEE) -> U+898B (CJK UNIFIED IDEOGRAPH-898B)
