MapFromString	MapToString	Comment # File CombiningModifierMappingAnnotated.tsv, automatically generated by script wildebeest_build.py (Ulf Hermjakob, USC/ISI) based on UnicodeData on Nov 12, 2021, 15:58:42
À	À	U+0041 (LATIN CAPITAL LETTER A) U+0300 (COMBINING GRAVE ACCENT) -> U+00C0 (LATIN CAPITAL LETTER A WITH GRAVE)
Á	Á	U+0041 (LATIN CAPITAL LETTER A) U+0301 (COMBINING ACUTE ACCENT) -> U+00C1 (LATIN CAPITAL LETTER A WITH ACUTE)
Â	Â	U+0041 (LATIN CAPITAL LETTER A) U+0302 (COMBINING CIRCUMFLEX ACCENT) -> U+00C2 (LATIN CAPITAL LETTER A WITH CIRCUMFLEX)
Ã	Ã	U+0041 (LATIN CAPITAL LETTER A) U+0303 (COMBINING TILDE) -> U+00C3 (LATIN CAPITAL LETTER A WITH TILDE)
Ä	Ä	U+0041 (LATIN CAPITAL LETTER A) U+0308 (COMBINING DIAERESIS) -> U+00C4 (LATIN CAPITAL LETTER A WITH DIAERESIS)
Å	Å	U+0041 (LATIN CAPITAL LETTER A) U+030A (COMBINING RING ABOVE) -> U+00C5 (LATIN CAPITAL LETTER A WITH RING ABOVE)
Ç	Ç	U+0043 (LATIN CAPITAL LETTER C) U+0327 (COMBINING CEDILLA) -> U+00C7 (LATIN CAPITAL LETTER C WITH CEDILLA)
È	È	U+0045 (LATIN CAPITAL LETTER E) U+0300 (COMBINING GRAVE ACCENT) -> U+00C8 (LATIN CAPITAL LETTER E WITH GRAVE)
É	É	U+0045 (LATIN CAPITAL LETTER E) U+0301 (COMBINING ACUTE ACCENT) -> U+00C9 (LATIN CAPITAL LETTER E WITH ACUTE)
Ê	Ê	U+0045 (LATIN CAPITAL LETTER E) U+0302 (COMBINING CIRCUMFLEX ACCENT) -> U+00CA (LATIN CAPITAL LETTER E WITH CIRCUMFLEX)
Ë	Ë	U+0045 (LATIN CAPITAL LETTER E) U+0308 (COMBINING DIAERESIS) -> U+00CB (LATIN CAPITAL LETTER E WITH DIAERESIS)
Ì	Ì	U+0049 (LATIN CAPITAL LETTER I) U+0300 (COMBINING GRAVE ACCENT) -> U+00CC (LATIN CAPITAL LETTER I WITH GRAVE)
Í	Í	U+0049 (LATIN CAPITAL LETTER I) U+0301 (COMBINING ACUTE ACCENT) -> U+00CD (LATIN CAPITAL LETTER I WITH ACUTE)
Î	Î	U+0049 (LATIN CAPITAL LETTER I) U+0302 (COMBINING CIRCUMFLEX ACCENT) -> U+00CE (LATIN CAPITAL LETTER I WITH CIRCUMFLEX)
Ï	Ï	U+0049 (LATIN CAPITAL LETTER I) U+0308 (COMBINING DIAERESIS) -> U+00CF (LATIN CAPITAL LETTER I WITH DIAERESIS)
Ñ	Ñ	U+004E (LATIN CAPITAL LETTER N) U+0303 (COMBINING TILDE) -> U+00D1 (LATIN CAPITAL LETTER N WITH TILDE)
Ò	Ò	U+004F (LATIN CAPITAL LETTER O) U+0300 (COMBINING GRAVE ACCENT) -> U+00D2 (LATIN CAPITAL LETTER O WITH GRAVE)
Ó	Ó	U+004F (LATIN CAPITAL LETTER O) U+0301 (COMBINING ACUTE ACCENT) -> U+00D3 (LATIN CAPITAL LETTER O WITH ACUTE)
Ô	Ô	U+004F (LATIN CAPITAL LETTER O) U+0302 (COMBINING CIRCUMFLEX ACCENT) -> U+00D4 (LATIN CAPITAL LETTER O WITH CIRCUMFLEX)
Õ	Õ	U+004F (LATIN CAPITAL LETTER O) U+0303 (COMBINING TILDE) -> U+00D5 (LATIN CAPITAL LETTER O WITH TILDE)
Ö	Ö	U+004F (LATIN CAPITAL LETTER O) U+0308 (COMBINING DIAERESIS) -> U+00D6 (LATIN CAPITAL LETTER O WITH DIAERESIS)
Ù	Ù	U+0055 (LATIN CAPITAL LETTER U) U+0300 (COMBINING GRAVE ACCENT) -> U+00D9 (LATIN CAPITAL LETTER U WITH GRAVE)
Ú	Ú	U+0055 (LATIN CAPITAL LETTER U) U+0301 (COMBINING ACUTE ACCENT) -> U+00DA (LATIN CAPITAL LETTER U WITH ACUTE)
Û	Û	U+0055 (LATIN CAPITAL LETTER U) U+0302 (COMBINING CIRCUMFLEX ACCENT) -> U+00DB (LATIN CAPITAL LETTER U WITH CIRCUMFLEX)
Ü	Ü	U+0055 (LATIN CAPITAL LETTER U) U+0308 (COMBINING DIAERESIS) -> U+00DC (LATIN CAPITAL LETTER U WITH DIAERESIS)
Ý	Ý	U+0059 (LATIN CAPITAL LETTER Y) U+0301 (COMBINING ACUTE ACCENT) -> U+00DD (LATIN CAPITAL LETTER Y WITH ACUTE)
à	à	U+0061 (LATIN SMALL LETTER A) U+0300 (COMBINING GRAVE ACCENT) -> U+00E0 (LATIN SMALL LETTER A WITH GRAVE)
á	á	U+0061 (LATIN SMALL LETTER A) U+0301 (COMBINING ACUTE ACCENT) -> U+00E1 (LATIN SMALL LETTER A WITH ACUTE)
â	â	U+0061 (LATIN SMALL LETTER A) U+0302 (COMBINING CIRCUMFLEX ACCENT) -> U+00E2 (LATIN SMALL LETTER A WITH CIRCUMFLEX)
ã	ã	U+0061 (LATIN SMALL LETTER A) U+0303 (COMBINING TILDE) -> U+00E3 (LATIN SMALL LETTER A WITH TILDE)
ä	ä	U+0061 (LATIN SMALL LETTER A) U+0308 (COMBINING DIAERESIS) -> U+00E4 (LATIN SMALL LETTER A WITH DIAERESIS)
å	å	U+0061 (LATIN SMALL LETTER A) U+030A (COMBINING RING ABOVE) -> U+00E5 (LATIN SMALL LETTER A WITH RING ABOVE)
ç	ç	U+0063 (LATIN SMALL LETTER C) U+0327 (COMBINING CEDILLA) -> U+00E7 (LATIN SMALL LETTER C WITH CEDILLA)
è	è	U+0065 (LATIN SMALL LETTER E) U+0300 (COMBINING GRAVE ACCENT) -> U+00E8 (LATIN SMALL LETTER E WITH GRAVE)
é	é	U+0065 (LATIN SMALL LETTER E) U+0301 (COMBINING ACUTE ACCENT) -> U+00E9 (LATIN SMALL LETTER E WITH ACUTE)
ê	ê	U+0065 (LATIN SMALL LETTER E) U+0302 (COMBINING CIRCUMFLEX ACCENT) -> U+00EA (LATIN SMALL LETTER E WITH CIRCUMFLEX)
ë	ë	U+0065 (LATIN SMALL LETTER E) U+0308 (COMBINING DIAERESIS) -> U+00EB (LATIN SMALL LETTER E WITH DIAERESIS)
ì	ì	U+0069 (LATIN SMALL LETTER I) U+0300 (COMBINING GRAVE ACCENT) -> U+00EC (LATIN SMALL LETTER I WITH GRAVE)
í	í	U+0069 (LATIN SMALL LETTER I) U+0301 (COMBINING ACUTE ACCENT) -> U+00ED (LATIN SMALL LETTER I WITH ACUTE)
î	î	U+0069 (LATIN SMALL LETTER I) U+0302 (COMBINING CIRCUMFLEX ACCENT) -> U+00EE (LATIN SMALL LETTER I WITH CIRCUMFLEX)
ï	ï	U+0069 (LATIN SMALL LETTER I) U+0308 (COMBINING DIAERESIS) -> U+00EF (LATIN SMALL LETTER I WITH DIAERESIS)
ñ	ñ	U+006E (LATIN SMALL LETTER N) U+0303 (COMBINING TILDE) -> U+00F1 (LATIN SMALL LETTER N WITH TILDE)
ò	ò	U+006F (LATIN SMALL LETTER O) U+0300 (COMBINING GRAVE ACCENT) -> U+00F2 (LATIN SMALL LETTER O WITH GRAVE)
ó	ó	U+006F (LATIN SMALL LETTER O) U+0301 (COMBINING ACUTE ACCENT) -> U+00F3 (LATIN SMALL LETTER O WITH ACUTE)
ô	ô	U+006F (LATIN SMALL LETTER O) U+0302 (COMBINING CIRCUMFLEX ACCENT) -> U+00F4 (LATIN SMALL LETTER O WITH CIRCUMFLEX)
õ	õ	U+006F (LATIN SMALL LETTER O) U+0303 (COMBINING TILDE) -> U+00F5 (LATIN SMALL LETTER O WITH TILDE)
ö	ö	U+006F (LATIN SMALL LETTER O) U+0308 (COMBINING DIAERESIS) -> U+00F6 (LATIN SMALL LETTER O WITH DIAERESIS)
ù	ù	U+0075 (LATIN SMALL LETTER U) U+0300 (COMBINING GRAVE ACCENT) -> U+00F9 (LATIN SMALL LETTER U WITH GRAVE)
ú	ú	U+0075 (LATIN SMALL LETTER U) U+0301 (COMBINING ACUTE ACCENT) -> U+00FA (LATIN SMALL LETTER U WITH ACUTE)
û	û	U+0075 (LATIN SMALL LETTER U) U+0302 (COMBINING CIRCUMFLEX ACCENT) -> U+00FB (LATIN SMALL LETTER U WITH CIRCUMFLEX)
ü	ü	U+0075 (LATIN SMALL LETTER U) U+0308 (COMBINING DIAERESIS) -> U+00FC (LATIN SMALL LETTER U WITH DIAERESIS)
ý	ý	U+0079 (LATIN SMALL LETTER Y) U+0301 (COMBINING ACUTE ACCENT) -> U+00FD (LATIN SMALL LETTER Y WITH ACUTE)
ÿ	ÿ	U+0079 (LATIN SMALL LETTER Y) U+0308 (COMBINING DIAERESIS) -> U+00FF (LATIN SMALL LETTER Y WITH DIAERESIS)
Ā	Ā	U+0041 (LATIN CAPITAL LETTER A) U+0304 (COMBINING MACRON) -> U+0100 (LATIN CAPITAL LETTER A WITH MACRON)
ā	ā	U+0061 (LATIN SMALL LETTER A) U+0304 (COMBINING MACRON) -> U+0101 (LATIN SMALL LETTER A WITH MACRON)
Ă	Ă	U+0041 (LATIN CAPITAL LETTER A) U+0306 (COMBINING BREVE) -> U+0102 (LATIN CAPITAL LETTER A WITH BREVE)
ă	ă	U+0061 (LATIN SMALL LETTER A) U+0306 (COMBINING BREVE) -> U+0103 (LATIN SMALL LETTER A WITH BREVE)
Ą	Ą	U+0041 (LATIN CAPITAL LETTER A) U+0328 (COMBINING OGONEK) -> U+0104 (LATIN CAPITAL LETTER A WITH OGONEK)
ą	ą	U+0061 (LATIN SMALL LETTER A) U+0328 (COMBINING OGONEK) -> U+0105 (LATIN SMALL LETTER A WITH OGONEK)
Ć	Ć	U+0043 (LATIN CAPITAL LETTER C) U+0301 (COMBINING ACUTE ACCENT) -> U+0106 (LATIN CAPITAL LETTER C WITH ACUTE)
ć	ć	U+0063 (LATIN SMALL LETTER C) U+0301 (COMBINING ACUTE ACCENT) -> U+0107 (LATIN SMALL LETTER C WITH ACUTE)
Ĉ	Ĉ	U+0043 (LATIN CAPITAL LETTER C) U+0302 (COMBINING CIRCUMFLEX ACCENT) -> U+0108 (LATIN CAPITAL LETTER C WITH CIRCUMFLEX)
ĉ	ĉ	U+0063 (LATIN SMALL LETTER C) U+0302 (COMBINING CIRCUMFLEX ACCENT) -> U+0109 (LATIN SMALL LETTER C WITH CIRCUMFLEX)
Ċ	Ċ	U+0043 (LATIN CAPITAL LETTER C) U+0307 (COMBINING DOT ABOVE) -> U+010A (LATIN CAPITAL LETTER C WITH DOT ABOVE)
ċ	ċ	U+0063 (LATIN SMALL LETTER C) U+0307 (COMBINING DOT ABOVE) -> U+010B (LATIN SMALL LETTER C WITH DOT ABOVE)
Č	Č	U+0043 (LATIN CAPITAL LETTER C) U+030C (COMBINING CARON) -> U+010C (LATIN CAPITAL LETTER C WITH CARON)
č	č	U+0063 (LATIN SMALL LETTER C) U+030C (COMBINING CARON) -> U+010D (LATIN SMALL LETTER C WITH CARON)
Ď	Ď	U+0044 (LATIN CAPITAL LETTER D) U+030C (COMBINING CARON) -> U+010E (LATIN CAPITAL LETTER D WITH CARON)
ď	ď	U+0064 (LATIN SMALL LETTER D) U+030C (COMBINING CARON) -> U+010F (LATIN SMALL LETTER D WITH CARON)
Ē	Ē	U+0045 (LATIN CAPITAL LETTER E) U+0304 (COMBINING MACRON) -> U+0112 (LATIN CAPITAL LETTER E WITH MACRON)
ē	ē	U+0065 (LATIN SMALL LETTER E) U+0304 (COMBINING MACRON) -> U+0113 (LATIN SMALL LETTER E WITH MACRON)
Ĕ	Ĕ	U+0045 (LATIN CAPITAL LETTER E) U+0306 (COMBINING BREVE) -> U+0114 (LATIN CAPITAL LETTER E WITH BREVE)
ĕ	ĕ	U+0065 (LATIN SMALL LETTER E) U+0306 (COMBINING BREVE) -> U+0115 (LATIN SMALL LETTER E WITH BREVE)
Ė	Ė	U+0045 (LATIN CAPITAL LETTER E) U+0307 (COMBINING DOT ABOVE) -> U+0116 (LATIN CAPITAL LETTER E WITH DOT ABOVE)
ė	ė	U+0065 (LATIN SMALL LETTER E) U+0307 (COMBINING DOT ABOVE) -> U+0117 (LATIN SMALL LETTER E WITH DOT ABOVE)
Ę	Ę	U+0045 (LATIN CAPITAL LETTER E) U+0328 (COMBINING OGONEK) -> U+0118 (LATIN CAPITAL LETTER E WITH OGONEK)
ę	ę	U+0065 (LATIN SMALL LETTER E) U+0328 (COMBINING OGONEK) -> U+0119 (LATIN SMALL LETTER E WITH OGONEK)
Ě	Ě	U+0045 (LATIN CAPITAL LETTER E) U+030C (COMBINING CARON) -> U+011A (LATIN CAPITAL LETTER E WITH CARON)
ě	ě	U+0065 (LATIN SMALL LETTER E) U+030C (COMBINING CARON) -> U+011B (LATIN SMALL LETTER E WITH CARON)
Ĝ	Ĝ	U+0047 (LATIN CAPITAL LETTER G) U+0302 (COMBINING CIRCUMFLEX ACCENT) -> U+011C (LATIN CAPITAL LETTER G WITH CIRCUMFLEX)
ĝ	ĝ	U+0067 (LATIN SMALL LETTER G) U+0302 (COMBINING CIRCUMFLEX ACCENT) -> U+011D (LATIN SMALL LETTER G WITH CIRCUMFLEX)
Ğ	Ğ	U+0047 (LATIN CAPITAL LETTER G) U+0306 (COMBINING BREVE) -> U+011E (LATIN CAPITAL LETTER G WITH BREVE)
ğ	ğ	U+0067 (LATIN SMALL LETTER G) U+0306 (COMBINING BREVE) -> U+011F (LATIN SMALL LETTER G WITH BREVE)
Ġ	Ġ	U+0047 (LATIN CAPITAL LETTER G) U+0307 (COMBINING DOT ABOVE) -> U+0120 (LATIN CAPITAL LETTER G WITH DOT ABOVE)
ġ	ġ	U+0067 (LATIN SMALL LETTER G) U+0307 (COMBINING DOT ABOVE) -> U+0121 (LATIN SMALL LETTER G WITH DOT ABOVE)
Ģ	Ģ	U+0047 (LATIN CAPITAL LETTER G) U+0327 (COMBINING CEDILLA) -> U+0122 (LATIN CAPITAL LETTER G WITH CEDILLA)
ģ	ģ	U+0067 (LATIN SMALL LETTER G) U+0327 (COMBINING CEDILLA) -> U+0123 (LATIN SMALL LETTER G WITH CEDILLA)
Ĥ	Ĥ	U+0048 (LATIN CAPITAL LETTER H) U+0302 (COMBINING CIRCUMFLEX ACCENT) -> U+0124 (LATIN CAPITAL LETTER H WITH CIRCUMFLEX)
