MapFromString	MapToString	Comment # File FontSmallVerticalMappingAnnotated.tsv, automatically generated by script wildebeest_build.py (Ulf Hermjakob, USC/ISI) based on UnicodeData on Oct 18, 2020, 17:54:45
ℂ	C	U+2102 (DOUBLE-STRUCK CAPITAL C) -> U+0043 (LATIN CAPITAL LETTER C)
ℊ	g	U+210A (SCRIPT SMALL G) -> U+0067 (LATIN SMALL LETTER G)
ℋ	H	U+210B (SCRIPT CAPITAL H) -> U+0048 (LATIN CAPITAL LETTER H)
ℌ	H	U+210C (BLACK-LETTER CAPITAL H) -> U+0048 (LATIN CAPITAL LETTER H)
ℍ	H	U+210D (DOUBLE-STRUCK CAPITAL H) -> U+0048 (LATIN CAPITAL LETTER H)
ℎ	h	U+210E (PLANCK CONSTANT) -> U+0068 (LATIN SMALL LETTER H)
ℏ	ħ	U+210F (PLANCK CONSTANT OVER TWO PI) -> U+0127 (LATIN SMALL LETTER H WITH STROKE)
ℐ	I	U+2110 (SCRIPT CAPITAL I) -> U+0049 (LATIN CAPITAL LETTER I)
ℑ	I	U+2111 (BLACK-LETTER CAPITAL I) -> U+0049 (LATIN CAPITAL LETTER I)
ℒ	L	U+2112 (SCRIPT CAPITAL L) -> U+004C (LATIN CAPITAL LETTER L)
ℓ	l	U+2113 (SCRIPT SMALL L) -> U+006C (LATIN SMALL LETTER L)
ℕ	N	U+2115 (DOUBLE-STRUCK CAPITAL N) -> U+004E (LATIN CAPITAL LETTER N)
ℙ	P	U+2119 (DOUBLE-STRUCK CAPITAL P) -> U+0050 (LATIN CAPITAL LETTER P)
ℚ	Q	U+211A (DOUBLE-STRUCK CAPITAL Q) -> U+0051 (LATIN CAPITAL LETTER Q)
ℛ	R	U+211B (SCRIPT CAPITAL R) -> U+0052 (LATIN CAPITAL LETTER R)
ℜ	R	U+211C (BLACK-LETTER CAPITAL R) -> U+0052 (LATIN CAPITAL LETTER R)
ℝ	R	U+211D (DOUBLE-STRUCK CAPITAL R) -> U+0052 (LATIN CAPITAL LETTER R)
ℤ	Z	U+2124 (DOUBLE-STRUCK CAPITAL Z) -> U+005A (LATIN CAPITAL LETTER Z)
ℨ	Z	U+2128 (BLACK-LETTER CAPITAL Z) -> U+005A (LATIN CAPITAL LETTER Z)
ℬ	B	U+212C (SCRIPT CAPITAL B) -> U+0042 (LATIN CAPITAL LETTER B)
ℭ	C	U+212D (BLACK-LETTER CAPITAL C) -> U+0043 (LATIN CAPITAL LETTER C)
ℯ	e	U+212F (SCRIPT SMALL E) -> U+0065 (LATIN SMALL LETTER E)
ℰ	E	U+2130 (SCRIPT CAPITAL E) -> U+0045 (LATIN CAPITAL LETTER E)
ℱ	F	U+2131 (SCRIPT CAPITAL F) -> U+0046 (LATIN CAPITAL LETTER F)
ℳ	M	U+2133 (SCRIPT CAPITAL M) -> U+004D (LATIN CAPITAL LETTER M)
ℴ	o	U+2134 (SCRIPT SMALL O) -> U+006F (LATIN SMALL LETTER O)
ℹ	i	U+2139 (INFORMATION SOURCE) -> U+0069 (LATIN SMALL LETTER I)
ℼ	π	U+213C (DOUBLE-STRUCK SMALL PI) -> U+03C0 (GREEK SMALL LETTER PI)
ℽ	γ	U+213D (DOUBLE-STRUCK SMALL GAMMA) -> U+03B3 (GREEK SMALL LETTER GAMMA)
ℾ	Γ	U+213E (DOUBLE-STRUCK CAPITAL GAMMA) -> U+0393 (GREEK CAPITAL LETTER GAMMA)
ℿ	Π	U+213F (DOUBLE-STRUCK CAPITAL PI) -> U+03A0 (GREEK CAPITAL LETTER PI)
⅀	∑	U+2140 (DOUBLE-STRUCK N-ARY SUMMATION) -> U+2211 (N-ARY SUMMATION)
ⅅ	D	U+2145 (DOUBLE-STRUCK ITALIC CAPITAL D) -> U+0044 (LATIN CAPITAL LETTER D)
